dis_img_path,dis_type,ref_img_path,score
CIDIQ_MOS50/Images/Reproduction/1_JPEG2000_Compression/final01_d1_l1.bmp,JP2K,CIDIQ_MOS50/Images/Original/final01.bmp,4.41
CIDIQ_MOS50/Images/Reproduction/1_JPEG2000_Compression/final01_d1_l2.bmp,JP2K,CIDIQ_MOS50/Images/Original/final01.bmp,3.65
CIDIQ_MOS50/Images/Reproduction/1_JPEG2000_Compression/final01_d1_l3.bmp,JP2K,CIDIQ_MOS50/Images/Original/final01.bmp,3.06
CIDIQ_MOS50/Images/Reproduction/1_JPEG2000_Compression/final01_d1_l4.bmp,JP2K,CIDIQ_MOS50/Images/Original/final01.bmp,2.94
CIDIQ_MOS50/Images/Reproduction/1_JPEG2000_Compression/final01_d1_l5.bmp,JP2K,CIDIQ_MOS50/Images/Original/final01.bmp,1.82
CIDIQ_MOS50/Images/Reproduction/1_JPEG2000_Compression/final02_d1_l1.bmp,JP2K,CIDIQ_MOS50/Images/Original/final02.bmp,7.24
CIDIQ_MOS50/Images/Reproduction/1_JPEG2000_Compression/final02_d1_l2.bmp,JP2K,CIDIQ_MOS50/Images/Original/final02.bmp,7.29
CIDIQ_MOS50/Images/Reproduction/1_JPEG2000_Compression/final02_d1_l3.bmp,JP2K,CIDIQ_MOS50/Images/Original/final02.bmp,6.82
CIDIQ_MOS50/Images/Reproduction/1_JPEG2000_Compression/final02_d1_l4.bmp,JP2K,CIDIQ_MOS50/Images/Original/final02.bmp,6.82
CIDIQ_MOS50/Images/Reproduction/1_JPEG2000_Compression/final02_d1_l5.bmp,JP2K,CIDIQ_MOS50/Images/Original/final02.bmp,6.0
CIDIQ_MOS50/Images/Reproduction/1_JPEG2000_Compression/final03_d1_l1.bmp,JP2K,CIDIQ_MOS50/Images/Original/final03.bmp,4.12
CIDIQ_MOS50/Images/Reproduction/1_JPEG2000_Compression/final03_d1_l2.bmp,JP2K,CIDIQ_MOS50/Images/Original/final03.bmp,4.24
CIDIQ_MOS50/Images/Reproduction/1_JPEG2000_Compression/final03_d1_l3.bmp,JP2K,CIDIQ_MOS50/Images/Original/final03.bmp,3.82
CIDIQ_MOS50/Images/Reproduction/1_JPEG2000_Compression/final03_d1_l4.bmp,JP2K,CIDIQ_MOS50/Images/Original/final03.bmp,3.0
CIDIQ_MOS50/Images/Reproduction/1_JPEG2000_Compression/final03_d1_l5.bmp,JP2K,CIDIQ_MOS50/Images/Original/final03.bmp,2.18
CIDIQ_MOS50/Images/Reproduction/1_JPEG2000_Compression/final04_d1_l1.bmp,JP2K,CIDIQ_MOS50/Images/Original/final04.bmp,7.0
CIDIQ_MOS50/Images/Reproduction/1_JPEG2000_Compression/final04_d1_l2.bmp,JP2K,CIDIQ_MOS50/Images/Original/final04.bmp,6.82
CIDIQ_MOS50/Images/Reproduction/1_JPEG2000_Compression/final04_d1_l3.bmp,JP2K,CIDIQ_MOS50/Images/Original/final04.bmp,6.24
CIDIQ_MOS50/Images/Reproduction/1_JPEG2000_Compression/final04_d1_l4.bmp,JP2K,CIDIQ_MOS50/Images/Original/final04.bmp,5.53
CIDIQ_MOS50/Images/Reproduction/1_JPEG2000_Compression/final04_d1_l5.bmp,JP2K,CIDIQ_MOS50/Images/Original/final04.bmp,4.47
CIDIQ_MOS50/Images/Reproduction/1_JPEG2000_Compression/final05_d1_l1.bmp,JP2K,CIDIQ_MOS50/Images/Original/final05.bmp,6.71
CIDIQ_MOS50/Images/Reproduction/1_JPEG2000_Compression/final05_d1_l2.bmp,JP2K,CIDIQ_MOS50/Images/Original/final05.bmp,6.35
CIDIQ_MOS50/Images/Reproduction/1_JPEG2000_Compression/final05_d1_l3.bmp,JP2K,CIDIQ_MOS50/Images/Original/final05.bmp,5.35
CIDIQ_MOS50/Images/Reproduction/1_JPEG2000_Compression/final05_d1_l4.bmp,JP2K,CIDIQ_MOS50/Images/Original/final05.bmp,4.71
CIDIQ_MOS50/Images/Reproduction/1_JPEG2000_Compression/final05_d1_l5.bmp,JP2K,CIDIQ_MOS50/Images/Original/final05.bmp,3.82
CIDIQ_MOS50/Images/Reproduction/1_JPEG2000_Compression/final06_d1_l1.bmp,JP2K,CIDIQ_MOS50/Images/Original/final06.bmp,6.47
CIDIQ_MOS50/Images/Reproduction/1_JPEG2000_Compression/final06_d1_l2.bmp,JP2K,CIDIQ_MOS50/Images/Original/final06.bmp,5.65
CIDIQ_MOS50/Images/Reproduction/1_JPEG2000_Compression/final06_d1_l3.bmp,JP2K,CIDIQ_MOS50/Images/Original/final06.bmp,4.76
CIDIQ_MOS50/Images/Reproduction/1_JPEG2000_Compression/final06_d1_l4.bmp,JP2K,CIDIQ_MOS50/Images/Original/final06.bmp,4.53
CIDIQ_MOS50/Images/Reproduction/1_JPEG2000_Compression/final06_d1_l5.bmp,JP2K,CIDIQ_MOS50/Images/Original/final06.bmp,3.65
CIDIQ_MOS50/Images/Reproduction/1_JPEG2000_Compression/final07_d1_l1.bmp,JP2K,CIDIQ_MOS50/Images/Original/final07.bmp,6.29
CIDIQ_MOS50/Images/Reproduction/1_JPEG2000_Compression/final07_d1_l2.bmp,JP2K,CIDIQ_MOS50/Images/Original/final07.bmp,6.06
CIDIQ_MOS50/Images/Reproduction/1_JPEG2000_Compression/final07_d1_l3.bmp,JP2K,CIDIQ_MOS50/Images/Original/final07.bmp,5.35
CIDIQ_MOS50/Images/Reproduction/1_JPEG2000_Compression/final07_d1_l4.bmp,JP2K,CIDIQ_MOS50/Images/Original/final07.bmp,5.06
CIDIQ_MOS50/Images/Reproduction/1_JPEG2000_Compression/final07_d1_l5.bmp,JP2K,CIDIQ_MOS50/Images/Original/final07.bmp,4.24
CIDIQ_MOS50/Images/Reproduction/1_JPEG2000_Compression/final08_d1_l1.bmp,JP2K,CIDIQ_MOS50/Images/Original/final08.bmp,7.06
CIDIQ_MOS50/Images/Reproduction/1_JPEG2000_Compression/final08_d1_l2.bmp,JP2K,CIDIQ_MOS50/Images/Original/final08.bmp,6.71
CIDIQ_MOS50/Images/Reproduction/1_JPEG2000_Compression/final08_d1_l3.bmp,JP2K,CIDIQ_MOS50/Images/Original/final08.bmp,6.65
CIDIQ_MOS50/Images/Reproduction/1_JPEG2000_Compression/final08_d1_l4.bmp,JP2K,CIDIQ_MOS50/Images/Original/final08.bmp,5.82
CIDIQ_MOS50/Images/Reproduction/1_JPEG2000_Compression/final08_d1_l5.bmp,JP2K,CIDIQ_MOS50/Images/Original/final08.bmp,4.65
CIDIQ_MOS50/Images/Reproduction/1_JPEG2000_Compression/final09_d1_l1.bmp,JP2K,CIDIQ_MOS50/Images/Original/final09.bmp,6.35
CIDIQ_MOS50/Images/Reproduction/1_JPEG2000_Compression/final09_d1_l2.bmp,JP2K,CIDIQ_MOS50/Images/Original/final09.bmp,6.41
CIDIQ_MOS50/Images/Reproduction/1_JPEG2000_Compression/final09_d1_l3.bmp,JP2K,CIDIQ_MOS50/Images/Original/final09.bmp,5.0
CIDIQ_MOS50/Images/Reproduction/1_JPEG2000_Compression/final09_d1_l4.bmp,JP2K,CIDIQ_MOS50/Images/Original/final09.bmp,5.53
CIDIQ_MOS50/Images/Reproduction/1_JPEG2000_Compression/final09_d1_l5.bmp,JP2K,CIDIQ_MOS50/Images/Original/final09.bmp,4.24
CIDIQ_MOS50/Images/Reproduction/1_JPEG2000_Compression/final10_d1_l1.bmp,JP2K,CIDIQ_MOS50/Images/Original/final10.bmp,5.88
CIDIQ_MOS50/Images/Reproduction/1_JPEG2000_Compression/final10_d1_l2.bmp,JP2K,CIDIQ_MOS50/Images/Original/final10.bmp,4.71
CIDIQ_MOS50/Images/Reproduction/1_JPEG2000_Compression/final10_d1_l3.bmp,JP2K,CIDIQ_MOS50/Images/Original/final10.bmp,3.94
CIDIQ_MOS50/Images/Reproduction/1_JPEG2000_Compression/final10_d1_l4.bmp,JP2K,CIDIQ_MOS50/Images/Original/final10.bmp,3.29
CIDIQ_MOS50/Images/Reproduction/1_JPEG2000_Compression/final10_d1_l5.bmp,JP2K,CIDIQ_MOS50/Images/Original/final10.bmp,2.47
