dis_img_path,dis_type,ref_img_path,score
LIVE_MD/To_Release/Part_1/blurjpeg/babygirl_blur1.bmp,Multiply Dist.,LIVE_MD/To_Release/Ref_Images/babygirl.bmp,21.5789
LIVE_MD/To_Release/Part_1/blurjpeg/babygirl_blur1_jpeg1.bmp,Multiply Dist.,LIVE_MD/To_Release/Ref_Images/babygirl.bmp,35.7895
LIVE_MD/To_Release/Part_1/blurjpeg/babygirl_blur1_jpeg2.bmp,Multiply Dist.,LIVE_MD/To_Release/Ref_Images/babygirl.bmp,32.6316
LIVE_MD/To_Release/Part_1/blurjpeg/babygirl_blur1_jpeg3.bmp,Multiply Dist.,LIVE_MD/To_Release/Ref_Images/babygirl.bmp,54.3158
LIVE_MD/To_Release/Part_1/blurjpeg/babygirl_blur2.bmp,Multiply Dist.,LIVE_MD/To_Release/Ref_Images/babygirl.bmp,40
LIVE_MD/To_Release/Part_1/blurjpeg/babygirl_blur2_jpeg1.bmp,Multiply Dist.,LIVE_MD/To_Release/Ref_Images/babygirl.bmp,52.6842
LIVE_MD/To_Release/Part_1/blurjpeg/babygirl_blur2_jpeg2.bmp,Multiply Dist.,LIVE_MD/To_Release/Ref_Images/babygirl.bmp,51.4211
LIVE_MD/To_Release/Part_1/blurjpeg/babygirl_blur2_jpeg3.bmp,Multiply Dist.,LIVE_MD/To_Release/Ref_Images/babygirl.bmp,46.2105
LIVE_MD/To_Release/Part_1/blurjpeg/babygirl_blur3.bmp,Multiply Dist.,LIVE_MD/To_Release/Ref_Images/babygirl.bmp,60.7368
LIVE_MD/To_Release/Part_1/blurjpeg/babygirl_blur3_jpeg1.bmp,Multiply Dist.,LIVE_MD/To_Release/Ref_Images/babygirl.bmp,54.0526
LIVE_MD/To_Release/Part_1/blurjpeg/babygirl_blur3_jpeg2.bmp,Multiply Dist.,LIVE_MD/To_Release/Ref_Images/babygirl.bmp,59.4211
LIVE_MD/To_Release/Part_1/blurjpeg/babygirl_blur3_jpeg3.bmp,Multiply Dist.,LIVE_MD/To_Release/Ref_Images/babygirl.bmp,66.1053
LIVE_MD/To_Release/Part_1/blurjpeg/babygirl_jpeg1.bmp,Multiply Dist.,LIVE_MD/To_Release/Ref_Images/babygirl.bmp,8.5263
LIVE_MD/To_Release/Part_1/blurjpeg/babygirl_jpeg2.bmp,Multiply Dist.,LIVE_MD/To_Release/Ref_Images/babygirl.bmp,20.2632
LIVE_MD/To_Release/Part_1/blurjpeg/babygirl_jpeg3.bmp,Multiply Dist.,LIVE_MD/To_Release/Ref_Images/babygirl.bmp,42.3158
LIVE_MD/To_Release/Part_1/blurjpeg/bikerace_blur1.bmp,Multiply Dist.,LIVE_MD/To_Release/Ref_Images/bikerace.bmp,43.9474
LIVE_MD/To_Release/Part_1/blurjpeg/bikerace_blur1_jpeg1.bmp,Multiply Dist.,LIVE_MD/To_Release/Ref_Images/bikerace.bmp,49.1053
LIVE_MD/To_Release/Part_1/blurjpeg/bikerace_blur1_jpeg2.bmp,Multiply Dist.,LIVE_MD/To_Release/Ref_Images/bikerace.bmp,46.7895
LIVE_MD/To_Release/Part_1/blurjpeg/bikerace_blur1_jpeg3.bmp,Multiply Dist.,LIVE_MD/To_Release/Ref_Images/bikerace.bmp,54
LIVE_MD/To_Release/Part_1/blurjpeg/bikerace_blur2.bmp,Multiply Dist.,LIVE_MD/To_Release/Ref_Images/bikerace.bmp,56.8947
LIVE_MD/To_Release/Part_1/blurjpeg/bikerace_blur2_jpeg1.bmp,Multiply Dist.,LIVE_MD/To_Release/Ref_Images/bikerace.bmp,59.1053
LIVE_MD/To_Release/Part_1/blurjpeg/bikerace_blur2_jpeg2.bmp,Multiply Dist.,LIVE_MD/To_Release/Ref_Images/bikerace.bmp,62.2105
LIVE_MD/To_Release/Part_1/blurjpeg/bikerace_blur2_jpeg3.bmp,Multiply Dist.,LIVE_MD/To_Release/Ref_Images/bikerace.bmp,62.7368
LIVE_MD/To_Release/Part_1/blurjpeg/bikerace_blur3.bmp,Multiply Dist.,LIVE_MD/To_Release/Ref_Images/bikerace.bmp,73.4737
LIVE_MD/To_Release/Part_1/blurjpeg/bikerace_blur3_jpeg1.bmp,Multiply Dist.,LIVE_MD/To_Release/Ref_Images/bikerace.bmp,66.7895
LIVE_MD/To_Release/Part_1/blurjpeg/bikerace_blur3_jpeg2.bmp,Multiply Dist.,LIVE_MD/To_Release/Ref_Images/bikerace.bmp,74.1579
LIVE_MD/To_Release/Part_1/blurjpeg/bikerace_blur3_jpeg3.bmp,Multiply Dist.,LIVE_MD/To_Release/Ref_Images/bikerace.bmp,72.7895
LIVE_MD/To_Release/Part_1/blurjpeg/bikerace_jpeg1.bmp,Multiply Dist.,LIVE_MD/To_Release/Ref_Images/bikerace.bmp,15.1053
LIVE_MD/To_Release/Part_1/blurjpeg/bikerace_jpeg2.bmp,Multiply Dist.,LIVE_MD/To_Release/Ref_Images/bikerace.bmp,18
LIVE_MD/To_Release/Part_1/blurjpeg/bikerace_jpeg3.bmp,Multiply Dist.,LIVE_MD/To_Release/Ref_Images/bikerace.bmp,29.7368
LIVE_MD/To_Release/Part_1/blurjpeg/cows_blur1.bmp,Multiply Dist.,LIVE_MD/To_Release/Ref_Images/cows.bmp,40
LIVE_MD/To_Release/Part_1/blurjpeg/cows_blur1_jpeg1.bmp,Multiply Dist.,LIVE_MD/To_Release/Ref_Images/cows.bmp,43.1579
LIVE_MD/To_Release/Part_1/blurjpeg/cows_blur1_jpeg2.bmp,Multiply Dist.,LIVE_MD/To_Release/Ref_Images/cows.bmp,41.8421
LIVE_MD/To_Release/Part_1/blurjpeg/cows_blur1_jpeg3.bmp,Multiply Dist.,LIVE_MD/To_Release/Ref_Images/cows.bmp,48.6842
LIVE_MD/To_Release/Part_1/blurjpeg/cows_blur2.bmp,Multiply Dist.,LIVE_MD/To_Release/Ref_Images/cows.bmp,54.2105
LIVE_MD/To_Release/Part_1/blurjpeg/cows_blur2_jpeg1.bmp,Multiply Dist.,LIVE_MD/To_Release/Ref_Images/cows.bmp,56.8421
