dis_img_path,dis_type,ref_img_path,score
TID2008/distorted_images/I01_01_1.bmp,AWGN,TID2008/reference_images/I01.BMP,5.9706
TID2008/distorted_images/I01_01_2.bmp,AWGN,TID2008/reference_images/I01.BMP,5.4167
TID2008/distorted_images/I01_01_3.bmp,AWGN,TID2008/reference_images/I01.BMP,4.5556
TID2008/distorted_images/I01_01_4.bmp,AWGN,TID2008/reference_images/I01.BMP,4.3143
TID2008/distorted_images/I01_02_1.bmp,Chroma_Noise,TID2008/reference_images/I01.BMP,6.1429
TID2008/distorted_images/I01_02_2.bmp,Chroma_Noise,TID2008/reference_images/I01.BMP,5.7941
TID2008/distorted_images/I01_02_3.bmp,Chroma_Noise,TID2008/reference_images/I01.BMP,5.4444
TID2008/distorted_images/I01_02_4.bmp,Chroma_Noise,TID2008/reference_images/I01.BMP,4.9143
TID2008/distorted_images/I01_03_1.bmp,Pink_Noise,TID2008/reference_images/I01.BMP,4.8056
TID2008/distorted_images/I01_03_2.bmp,Pink_Noise,TID2008/reference_images/I01.BMP,4.0286
TID2008/distorted_images/I01_03_3.bmp,Pink_Noise,TID2008/reference_images/I01.BMP,3.5278
TID2008/distorted_images/I01_03_4.bmp,Pink_Noise,TID2008/reference_images/I01.BMP,2.7500
TID2008/distorted_images/i01_04_1.bmp,Masked_Noise,TID2008/reference_images/I01.BMP,6.0286
TID2008/distorted_images/i01_04_2.bmp,Masked_Noise,TID2008/reference_images/I01.BMP,5.9714
TID2008/distorted_images/i01_04_3.bmp,Masked_Noise,TID2008/reference_images/I01.BMP,5.7429
TID2008/distorted_images/i01_04_4.bmp,Masked_Noise,TID2008/reference_images/I01.BMP,4.8286
TID2008/distorted_images/I01_05_1.bmp,High_Frequency_Noise,TID2008/reference_images/I01.BMP,5.8571
TID2008/distorted_images/I01_05_2.bmp,High_Frequency_Noise,TID2008/reference_images/I01.BMP,5.6111
TID2008/distorted_images/I01_05_3.bmp,High_Frequency_Noise,TID2008/reference_images/I01.BMP,4.8571
TID2008/distorted_images/I01_05_4.bmp,High_Frequency_Noise,TID2008/reference_images/I01.BMP,3.5429
TID2008/distorted_images/I01_06_1.bmp,Impluse_Noise,TID2008/reference_images/I01.BMP,4.4706
TID2008/distorted_images/I01_06_2.bmp,Impluse_Noise,TID2008/reference_images/I01.BMP,4.2286
TID2008/distorted_images/I01_06_3.bmp,Impluse_Noise,TID2008/reference_images/I01.BMP,4.0294
TID2008/distorted_images/I01_06_4.bmp,Impluse_Noise,TID2008/reference_images/I01.BMP,3.3056
TID2008/distorted_images/I01_07_1.bmp,Quantization_Noise,TID2008/reference_images/I01.BMP,4.7778
TID2008/distorted_images/I01_07_2.bmp,Quantization_Noise,TID2008/reference_images/I01.BMP,4.1111
TID2008/distorted_images/I01_07_3.bmp,Quantization_Noise,TID2008/reference_images/I01.BMP,3.2000
TID2008/distorted_images/I01_07_4.bmp,Quantization_Noise,TID2008/reference_images/I01.BMP,2.1667
TID2008/distorted_images/I01_08_1.bmp,GBLUR,TID2008/reference_images/I01.BMP,4.7353
TID2008/distorted_images/I01_08_2.bmp,GBLUR,TID2008/reference_images/I01.BMP,3.9143
TID2008/distorted_images/I01_08_3.bmp,GBLUR,TID2008/reference_images/I01.BMP,3.2778
TID2008/distorted_images/I01_08_4.bmp,GBLUR,TID2008/reference_images/I01.BMP,2.1765
TID2008/distorted_images/i01_09_1.bmp,Denoising,TID2008/reference_images/I01.BMP,5.7143
TID2008/distorted_images/i01_09_2.bmp,Denoising,TID2008/reference_images/I01.BMP,4.9143
TID2008/distorted_images/i01_09_3.bmp,Denoising,TID2008/reference_images/I01.BMP,3.0000
TID2008/distorted_images/i01_09_4.bmp,Denoising,TID2008/reference_images/I01.BMP,1.2000
TID2008/distorted_images/I01_10_1.bmp,JPEG,TID2008/reference_images/I01.BMP,5.9444
TID2008/distorted_images/I01_10_2.bmp,JPEG,TID2008/reference_images/I01.BMP,5.1667
TID2008/distorted_images/I01_10_3.bmp,JPEG,TID2008/reference_images/I01.BMP,3.3056
TID2008/distorted_images/I01_10_4.bmp,JPEG,TID2008/reference_images/I01.BMP,1.4571
TID2008/distorted_images/I01_11_1.bmp,JP2K,TID2008/reference_images/I01.BMP,5.8000
TID2008/distorted_images/I01_11_2.bmp,JP2K,TID2008/reference_images/I01.BMP,5.1667
TID2008/distorted_images/I01_11_3.bmp,JP2K,TID2008/reference_images/I01.BMP,3.5556
TID2008/distorted_images/I01_11_4.bmp,JP2K,TID2008/reference_images/I01.BMP,1.0000
TID2008/distorted_images/I01_12_1.bmp,JPEG_Transmission_Error,TID2008/reference_images/I01.BMP,6.4242
TID2008/distorted_images/I01_12_2.bmp,JPEG_Transmission_Error,TID2008/reference_images/I01.BMP,4.3056
TID2008/distorted_images/I01_12_3.bmp,JPEG_Transmission_Error,TID2008/reference_images/I01.BMP,4.1111
TID2008/distorted_images/I01_12_4.bmp,JPEG_Transmission_Error,TID2008/reference_images/I01.BMP,3.3889
TID2008/distorted_images/I01_13_1.bmp,JP2K_Transmission_Error,TID2008/reference_images/I01.BMP,4.1714
TID2008/distorted_images/I01_13_2.bmp,JP2K_Transmission_Error,TID2008/reference_images/I01.BMP,3.8235
TID2008/distorted_images/I01_13_3.bmp,JP2K_Transmission_Error,TID2008/reference_images/I01.BMP,3.5143
TID2008/distorted_images/I01_13_4.bmp,JP2K_Transmission_Error,TID2008/reference_images/I01.BMP,3.1765
TID2008/distorted_images/i01_14_1.bmp,Non_Eccentricity_Pattern_Noise,TID2008/reference_images/I01.BMP,6.3429
TID2008/distorted_images/i01_14_2.bmp,Non_Eccentricity_Pattern_Noise,TID2008/reference_images/I01.BMP,6.3429
TID2008/distorted_images/i01_14_3.bmp,Non_Eccentricity_Pattern_Noise,TID2008/reference_images/I01.BMP,5.6944
TID2008/distorted_images/i01_14_4.bmp,Non_Eccentricity_Pattern_Noise,TID2008/reference_images/I01.BMP,4.6111
TID2008/distorted_images/i01_15_1.bmp,Block_Dist.,TID2008/reference_images/I01.BMP,2.5143
TID2008/distorted_images/i01_15_2.bmp,Block_Dist.,TID2008/reference_images/I01.BMP,2.9706
TID2008/distorted_images/i01_15_3.bmp,Block_Dist.,TID2008/reference_images/I01.BMP,3.8571
TID2008/distorted_images/i01_15_4.bmp,Block_Dist.,TID2008/reference_images/I01.BMP,4.2778
TID2008/distorted_images/I01_16_1.bmp,Mean_Shift,TID2008/reference_images/I01.BMP,5.9412
TID2008/distorted_images/I01_16_2.bmp,Mean_Shift,TID2008/reference_images/I01.BMP,5.6286
TID2008/distorted_images/I01_16_3.bmp,Mean_Shift,TID2008/reference_images/I01.BMP,5.8889
TID2008/distorted_images/I01_16_4.bmp,Mean_Shift,TID2008/reference_images/I01.BMP,4.8571
TID2008/distorted_images/I01_17_1.bmp,Contrast_Dist.,TID2008/reference_images/I01.BMP,6.5000
TID2008/distorted_images/I01_17_2.bmp,Contrast_Dist.,TID2008/reference_images/I01.BMP,4.9714
