dis_img_path,dis_type,ref_img_path,score
Toyama/jpeg2000/kp01_00_jp2.bmp,Reference,Toyama/ref_imgs/kp01.bmp,4.69 
Toyama/jpeg2000/kp01_12_jp2.bmp,JP2K,Toyama/ref_imgs/kp01.bmp,4.63 
Toyama/jpeg2000/kp01_24_jp2.bmp,JP2K,Toyama/ref_imgs/kp01.bmp,2.75 
Toyama/jpeg2000/kp01_32_jp2.bmp,JP2K,Toyama/ref_imgs/kp01.bmp,3.06 
Toyama/jpeg2000/kp01_48_jp2.bmp,JP2K,Toyama/ref_imgs/kp01.bmp,1.94 
Toyama/jpeg2000/kp01_72_jp2.bmp,JP2K,Toyama/ref_imgs/kp01.bmp,1.25 
Toyama/jpeg2000/kp01_96_jp2.bmp,JP2K,Toyama/ref_imgs/kp01.bmp,1.25 
Toyama/jpeg2000/kp03_00_jp2.bmp,Reference,Toyama/ref_imgs/kp03.bmp,4.75 
Toyama/jpeg2000/kp03_12_jp2.bmp,JP2K,Toyama/ref_imgs/kp03.bmp,4.63 
Toyama/jpeg2000/kp03_24_jp2.bmp,JP2K,Toyama/ref_imgs/kp03.bmp,3.81 
Toyama/jpeg2000/kp03_32_jp2.bmp,JP2K,Toyama/ref_imgs/kp03.bmp,3.81 
Toyama/jpeg2000/kp03_48_jp2.bmp,JP2K,Toyama/ref_imgs/kp03.bmp,2.63 
Toyama/jpeg2000/kp03_72_jp2.bmp,JP2K,Toyama/ref_imgs/kp03.bmp,2.06 
Toyama/jpeg2000/kp03_96_jp2.bmp,JP2K,Toyama/ref_imgs/kp03.bmp,1.69 
Toyama/jpeg2000/kp05_00_jp2.bmp,Reference,Toyama/ref_imgs/kp05.bmp,4.75 
Toyama/jpeg2000/kp05_12_jp2.bmp,JP2K,Toyama/ref_imgs/kp05.bmp,4.50 
Toyama/jpeg2000/kp05_24_jp2.bmp,JP2K,Toyama/ref_imgs/kp05.bmp,3.81 
Toyama/jpeg2000/kp05_32_jp2.bmp,JP2K,Toyama/ref_imgs/kp05.bmp,3.06 
Toyama/jpeg2000/kp05_48_jp2.bmp,JP2K,Toyama/ref_imgs/kp05.bmp,2.13 
Toyama/jpeg2000/kp05_72_jp2.bmp,JP2K,Toyama/ref_imgs/kp05.bmp,1.44 
Toyama/jpeg2000/kp05_96_jp2.bmp,JP2K,Toyama/ref_imgs/kp05.bmp,1.19 
Toyama/jpeg2000/kp06_00_jp2.bmp,Reference,Toyama/ref_imgs/kp06.bmp,4.63 
Toyama/jpeg2000/kp06_12_jp2.bmp,JP2K,Toyama/ref_imgs/kp06.bmp,4.75 
Toyama/jpeg2000/kp06_24_jp2.bmp,JP2K,Toyama/ref_imgs/kp06.bmp,4.31 
Toyama/jpeg2000/kp06_32_jp2.bmp,JP2K,Toyama/ref_imgs/kp06.bmp,3.69 
Toyama/jpeg2000/kp06_48_jp2.bmp,JP2K,Toyama/ref_imgs/kp06.bmp,2.25 
Toyama/jpeg2000/kp06_72_jp2.bmp,JP2K,Toyama/ref_imgs/kp06.bmp,1.81 
Toyama/jpeg2000/kp06_96_jp2.bmp,JP2K,Toyama/ref_imgs/kp06.bmp,1.38 
Toyama/jpeg2000/kp07_00_jp2.bmp,Reference,Toyama/ref_imgs/kp07.bmp,4.69 
Toyama/jpeg2000/kp07_12_jp2.bmp,JP2K,Toyama/ref_imgs/kp07.bmp,4.63 
Toyama/jpeg2000/kp07_24_jp2.bmp,JP2K,Toyama/ref_imgs/kp07.bmp,4.38 
Toyama/jpeg2000/kp07_32_jp2.bmp,JP2K,Toyama/ref_imgs/kp07.bmp,4.19 
