dis_img_path,dis_type,score
BIQ2021/Images/ss03 (7805).jpg,image_natural,0.7321
BIQ2021/Images/ss03 (954).jpg,image_natural,0.6337
BIQ2021/Images/ss03 (2202).jpg,image_natural,0.6795
BIQ2021/Images/ss01 (151).jpg,image_natural,0.1931
BIQ2021/Images/ss03 (3870).jpg,image_natural,0.8015
BIQ2021/Images/ss03 (584).jpg,image_natural,0.6587
BIQ2021/Images/ss03 (152).jpg,image_natural,0.7344
BIQ2021/Images/ss03 (1620).jpg,image_natural,0.7967
BIQ2021/Images/ss01 (331).jpg,image_natural,0.7185
BIQ2021/Images/ss03 (854).jpg,image_natural,0.7813
BIQ2021/Images/ss02 (1491).jpg,image_natural,0.4559
BIQ2021/Images/ss02 (1534).jpg,image_natural,0.6269
BIQ2021/Images/ss02 (78).jpg,image_natural,0.4737
BIQ2021/Images/ss03 (5907).jpg,image_natural,0.8315
BIQ2021/Images/ss03 (2756).jpg,image_natural,0.7694
BIQ2021/Images/ss03 (3927).jpg,image_natural,0.8039
BIQ2021/Images/ss03 (4169).jpg,image_natural,0.8852
BIQ2021/Images/ss03 (1699).jpg,image_natural,0.8519
BIQ2021/Images/ss01 (1329).jpg,image_natural,0.274
BIQ2021/Images/ss03 (758).jpg,image_natural,0.8351
BIQ2021/Images/ss01 (860).jpg,image_natural,0.1876
BIQ2021/Images/ss02 (855).jpg,image_natural,0.544
BIQ2021/Images/ss02 (946).jpg,image_natural,0.6868
BIQ2021/Images/ss02 (446).jpg,image_natural,0.6888
BIQ2021/Images/ss02 (1410).jpg,image_natural,0.4044
BIQ2021/Images/ss03 (1629).jpg,image_natural,0.7892
BIQ2021/Images/ss03 (5648).jpg,image_natural,0.8285
BIQ2021/Images/ss01 (152).jpg,image_natural,0.2144
BIQ2021/Images/ss01 (1250).jpg,image_natural,0.8156
BIQ2021/Images/ss02 (1539).jpg,image_natural,0.586
BIQ2021/Images/ss03 (7789).jpg,image_natural,0.7566
BIQ2021/Images/ss03 (4495).jpg,image_natural,0.8513
BIQ2021/Images/ss03 (5020).jpg,image_natural,0.8087
BIQ2021/Images/ss02 (1832).jpg,image_natural,0.3982
BIQ2021/Images/ss03 (4935).jpg,image_natural,0.8513
BIQ2021/Images/ss03 (1083).jpg,image_natural,0.7164
BIQ2021/Images/ss03 (507).jpg,image_natural,0.5626
BIQ2021/Images/ss03 (6935).jpg,image_natural,0.8455
BIQ2021/Images/ss03 (466).jpg,image_natural,0.8561
BIQ2021/Images/ss03 (3934).jpg,image_natural,0.8418
BIQ2021/Images/ss03 (3101).jpg,image_natural,0.6849
BIQ2021/Images/ss03 (4314).jpg,image_natural,0.7758
BIQ2021/Images/ss03 (5667).jpg,image_natural,0.5745
BIQ2021/Images/ss03 (5733).jpg,image_natural,0.8048
BIQ2021/Images/ss02 (845).jpg,image_natural,0.1868
BIQ2021/Images/ss02 (258).jpg,image_natural,0.7186
BIQ2021/Images/ss03 (2036).jpg,image_natural,0.8386
BIQ2021/Images/ss03 (6556).jpg,image_natural,0.8052
BIQ2021/Images/ss03 (2367).jpg,image_natural,0.7068
BIQ2021/Images/ss03 (4118).jpg,image_natural,0.8087
BIQ2021/Images/ss03 (4406).jpg,image_natural,0.814
BIQ2021/Images/ss02 (728).jpg,image_natural,0.6478
BIQ2021/Images/ss03 (7162).jpg,image_natural,0.7212
BIQ2021/Images/ss01 (1047).jpg,image_natural,0.2572
BIQ2021/Images/ss03 (6877).jpg,image_natural,0.517
BIQ2021/Images/ss03 (7552).jpg,image_natural,0.603
BIQ2021/Images/ss03 (4924).jpg,image_natural,0.8335
BIQ2021/Images/ss03 (3094).jpg,image_natural,0.8022
BIQ2021/Images/ss02 (1209).jpg,image_natural,0.5003
BIQ2021/Images/ss02 (1072).jpg,image_natural,0.2875
BIQ2021/Images/ss02 (647).jpg,image_natural,0.2711
BIQ2021/Images/ss03 (2735).jpg,image_natural,0.8142
BIQ2021/Images/ss03 (7286).jpg,image_natural,0.5967
BIQ2021/Images/ss03 (6164).jpg,image_natural,0.8619
BIQ2021/Images/ss03 (373).jpg,image_natural,0.7138
BIQ2021/Images/ss01 (1168).jpg,image_natural,0.4947
BIQ2021/Images/ss01 (867).jpg,image_natural,0.2115
BIQ2021/Images/ss01 (494).jpg,image_natural,0.2091
BIQ2021/Images/ss03 (7852).jpg,image_natural,0.7251
BIQ2021/Images/ss01 (1838).jpg,image_natural,0.304
BIQ2021/Images/ss02 (1023).jpg,image_natural,0.6299
BIQ2021/Images/ss03 (7097).jpg,image_natural,0.8284
BIQ2021/Images/ss03 (903).jpg,image_natural,0.8198
BIQ2021/Images/ss03 (4156).jpg,image_natural,0.7955
BIQ2021/Images/ss02 (234).jpg,image_natural,0.1588
BIQ2021/Images/ss03 (3491).jpg,image_natural,0.7573
BIQ2021/Images/ss02 (1950).jpg,image_natural,0.6621
BIQ2021/Images/ss03 (708).jpg,image_natural,0.7429
BIQ2021/Images/ss02 (1754).jpg,image_natural,0.3948
BIQ2021/Images/ss02 (425).jpg,image_natural,0.7805
BIQ2021/Images/ss02 (1309).jpg,image_natural,0.6863
BIQ2021/Images/ss03 (5772).jpg,image_natural,0.8523
BIQ2021/Images/ss01 (942).jpg,image_natural,0.377
BIQ2021/Images/ss02 (1601).jpg,image_natural,0.2552
BIQ2021/Images/ss03 (7338).jpg,image_natural,0.8466
BIQ2021/Images/ss03 (6604).jpg,image_natural,0.8117
BIQ2021/Images/ss03 (1190).jpg,image_natural,0.8369
BIQ2021/Images/ss03 (4620).jpg,image_natural,0.7464
BIQ2021/Images/ss01 (1281).jpg,image_natural,0.8608
BIQ2021/Images/ss03 (3942).jpg,image_natural,0.742
BIQ2021/Images/ss03 (1828).jpg,image_natural,0.6998
BIQ2021/Images/ss02 (596).jpg,image_natural,0.5009
BIQ2021/Images/ss03 (1016).jpg,image_natural,0.7679
BIQ2021/Images/ss03 (7206).jpg,image_natural,0.7576
BIQ2021/Images/ss03 (5024).jpg,image_natural,0.7951
BIQ2021/Images/ss02 (1828).jpg,image_natural,0.5313
BIQ2021/Images/ss03 (6073).jpg,image_natural,0.7012
BIQ2021/Images/ss03 (5311).jpg,image_natural,0.7787
BIQ2021/Images/ss03 (2276).jpg,image_natural,0.8349
BIQ2021/Images/ss03 (1253).jpg,image_natural,0.7415
BIQ2021/Images/ss03 (1963).jpg,image_natural,0.7861
BIQ2021/Images/ss03 (3496).jpg,image_natural,0.8106
BIQ2021/Images/ss02 (1912).jpg,image_natural,0.5336
BIQ2021/Images/ss01 (807).jpg,image_natural,0.2573
BIQ2021/Images/ss02 (1645).jpg,image_natural,0.7782
BIQ2021/Images/ss02 (1595).jpg,image_natural,0.5524
BIQ2021/Images/ss03 (6158).jpg,image_natural,0.8569
BIQ2021/Images/ss03 (4320).jpg,image_natural,0.8166
BIQ2021/Images/ss01 (82).jpg,image_natural,0.5967
BIQ2021/Images/ss03 (348).jpg,image_natural,0.6188
BIQ2021/Images/ss03 (5696).jpg,image_natural,0.8611
BIQ2021/Images/ss03 (268).jpg,image_natural,0.6757
BIQ2021/Images/ss03 (51).jpg,image_natural,0.7927
BIQ2021/Images/ss01 (1645).jpg,image_natural,0.8067
BIQ2021/Images/ss03 (4362).jpg,image_natural,0.8572
BIQ2021/Images/ss02 (631).jpg,image_natural,0.4753
BIQ2021/Images/ss01 (1829).jpg,image_natural,0.2381
BIQ2021/Images/ss03 (7511).jpg,image_natural,0.5588
BIQ2021/Images/ss02 (825).jpg,image_natural,0.3841
BIQ2021/Images/ss03 (6249).jpg,image_natural,0.3795
BIQ2021/Images/ss03 (6289).jpg,image_natural,0.7694
BIQ2021/Images/ss03 (3440).jpg,image_natural,0.8367
BIQ2021/Images/ss03 (595).jpg,image_natural,0.7327
BIQ2021/Images/ss03 (5825).jpg,image_natural,0.7434
BIQ2021/Images/ss03 (2052).jpg,image_natural,0.7368
BIQ2021/Images/ss03 (4350).jpg,image_natural,0.8515
BIQ2021/Images/ss03 (6711).jpg,image_natural,0.7385
BIQ2021/Images/ss03 (6947).jpg,image_natural,0.8361
BIQ2021/Images/ss03 (1474).jpg,image_natural,0.7723
BIQ2021/Images/ss03 (177).jpg,image_natural,0.8105
BIQ2021/Images/ss03 (6558).jpg,image_natural,0.7927
BIQ2021/Images/ss03 (6174).jpg,image_natural,0.7802
BIQ2021/Images/ss03 (2732).jpg,image_natural,0.8534
BIQ2021/Images/ss01 (1214).jpg,image_natural,0.1942
BIQ2021/Images/ss02 (93).jpg,image_natural,0.5257
BIQ2021/Images/ss03 (5788).jpg,image_natural,0.8351
BIQ2021/Images/ss03 (1387).jpg,image_natural,0.71
BIQ2021/Images/ss03 (3941).jpg,image_natural,0.7449
BIQ2021/Images/ss03 (5776).jpg,image_natural,0.6312
BIQ2021/Images/ss03 (5077).jpg,image_natural,0.788
BIQ2021/Images/ss03 (1779).jpg,image_natural,0.6895
BIQ2021/Images/ss02 (952).jpg,image_natural,0.5617
BIQ2021/Images/ss03 (5982).jpg,image_natural,0.8055
BIQ2021/Images/ss03 (4548).jpg,image_natural,0.8143
BIQ2021/Images/ss03 (6459).jpg,image_natural,0.745
BIQ2021/Images/ss03 (5630).jpg,image_natural,0.7667
BIQ2021/Images/ss03 (1533).jpg,image_natural,0.6762
BIQ2021/Images/ss03 (1090).jpg,image_natural,0.8903
BIQ2021/Images/ss03 (5682).jpg,image_natural,0.7834
BIQ2021/Images/ss03 (2448).jpg,image_natural,0.8273
BIQ2021/Images/ss03 (5600).jpg,image_natural,0.5607
BIQ2021/Images/ss03 (6992).jpg,image_natural,0.7881
BIQ2021/Images/ss03 (6591).jpg,image_natural,0.5954
BIQ2021/Images/ss02 (875).jpg,image_natural,0.257
BIQ2021/Images/ss03 (413).jpg,image_natural,0.7635
BIQ2021/Images/ss03 (7258).jpg,image_natural,0.636
BIQ2021/Images/ss02 (32).jpg,image_natural,0.7084
BIQ2021/Images/ss03 (2287).jpg,image_natural,0.7989
BIQ2021/Images/ss01 (1636).jpg,image_natural,0.482
BIQ2021/Images/ss02 (272).jpg,image_natural,0.4858
BIQ2021/Images/ss03 (1579).jpg,image_natural,0.7116
BIQ2021/Images/ss03 (5619).jpg,image_natural,0.7982
BIQ2021/Images/ss01 (469).jpg,image_natural,0.2067
BIQ2021/Images/ss03 (3353).jpg,image_natural,0.8171
BIQ2021/Images/ss03 (2940).jpg,image_natural,0.845
BIQ2021/Images/ss02 (643).jpg,image_natural,0.4055
BIQ2021/Images/ss02 (906).jpg,image_natural,0.4783
BIQ2021/Images/ss03 (4154).jpg,image_natural,0.7853
BIQ2021/Images/ss01 (1373).jpg,image_natural,0.3614
BIQ2021/Images/ss01 (940).jpg,image_natural,0.3269
BIQ2021/Images/ss03 (123).jpg,image_natural,0.4357
BIQ2021/Images/ss02 (48).jpg,image_natural,0.5456
BIQ2021/Images/ss03 (3843).jpg,image_natural,0.7593
BIQ2021/Images/ss03 (4843).jpg,image_natural,0.822
BIQ2021/Images/ss03 (5093).jpg,image_natural,0.8386
BIQ2021/Images/ss01 (618).jpg,image_natural,0.8022
BIQ2021/Images/ss03 (7543).jpg,image_natural,0.7304
BIQ2021/Images/ss02 (1794).jpg,image_natural,0.8168
BIQ2021/Images/ss03 (2434).jpg,image_natural,0.8091
BIQ2021/Images/ss03 (7677).jpg,image_natural,0.7075
BIQ2021/Images/ss01 (210).jpg,image_natural,0.4879
BIQ2021/Images/ss03 (2459).jpg,image_natural,0.8217
BIQ2021/Images/ss03 (366).jpg,image_natural,0.7313
BIQ2021/Images/ss03 (955).jpg,image_natural,0.803
BIQ2021/Images/ss03 (1521).jpg,image_natural,0.5384
BIQ2021/Images/ss03 (7751).jpg,image_natural,0.7355
BIQ2021/Images/ss01 (1230).jpg,image_natural,0.296
BIQ2021/Images/ss02 (605).jpg,image_natural,0.5198
BIQ2021/Images/ss01 (649).jpg,image_natural,0.3911
BIQ2021/Images/ss03 (3276).jpg,image_natural,0.7984
BIQ2021/Images/ss02 (1925).jpg,image_natural,0.4981
BIQ2021/Images/ss03 (5418).jpg,image_natural,0.8098
BIQ2021/Images/ss03 (5564).jpg,image_natural,0.8018
BIQ2021/Images/ss03 (7163).jpg,image_natural,0.8308
BIQ2021/Images/ss01 (13).jpg,image_natural,0.6421
BIQ2021/Images/ss02 (910).jpg,image_natural,0.4323
BIQ2021/Images/ss03 (2812).jpg,image_natural,0.9043
BIQ2021/Images/ss03 (2185).jpg,image_natural,0.8339
BIQ2021/Images/ss03 (1227).jpg,image_natural,0.6098
BIQ2021/Images/ss03 (2700).jpg,image_natural,0.7844
BIQ2021/Images/ss03 (5223).jpg,image_natural,0.754
BIQ2021/Images/ss03 (6093).jpg,image_natural,0.7764
BIQ2021/Images/ss01 (1314).jpg,image_natural,0.7937
BIQ2021/Images/ss01 (99).jpg,image_natural,0.756
BIQ2021/Images/ss01 (1326).jpg,image_natural,0.5171
BIQ2021/Images/ss01 (716).jpg,image_natural,0.2006
BIQ2021/Images/ss01 (580).jpg,image_natural,0.2259
BIQ2021/Images/ss01 (926).jpg,image_natural,0.5736
BIQ2021/Images/ss03 (4969).jpg,image_natural,0.7753
BIQ2021/Images/ss03 (2496).jpg,image_natural,0.87
BIQ2021/Images/ss03 (1250).jpg,image_natural,0.8103
BIQ2021/Images/ss03 (5029).jpg,image_natural,0.7933
BIQ2021/Images/ss03 (3783).jpg,image_natural,0.7793
BIQ2021/Images/ss03 (7128).jpg,image_natural,0.8498
BIQ2021/Images/ss03 (2183).jpg,image_natural,0.7466
BIQ2021/Images/ss03 (6080).jpg,image_natural,0.8111
BIQ2021/Images/ss01 (674).jpg,image_natural,0.3508
BIQ2021/Images/ss03 (7549).jpg,image_natural,0.8027
BIQ2021/Images/ss02 (1173).jpg,image_natural,0.6392
BIQ2021/Images/ss03 (2049).jpg,image_natural,0.6734
BIQ2021/Images/ss03 (4031).jpg,image_natural,0.7722
BIQ2021/Images/ss03 (1492).jpg,image_natural,0.7808
BIQ2021/Images/ss03 (187).jpg,image_natural,0.7567
BIQ2021/Images/ss03 (4466).jpg,image_natural,0.833
BIQ2021/Images/ss03 (892).jpg,image_natural,0.7201
BIQ2021/Images/ss02 (297).jpg,image_natural,0.4594
BIQ2021/Images/ss03 (3030).jpg,image_natural,0.7881
BIQ2021/Images/ss03 (6221).jpg,image_natural,0.7533
BIQ2021/Images/ss03 (2223).jpg,image_natural,0.6096
BIQ2021/Images/ss03 (5601).jpg,image_natural,0.5895
BIQ2021/Images/ss03 (2713).jpg,image_natural,0.7567
BIQ2021/Images/ss03 (4538).jpg,image_natural,0.8802
BIQ2021/Images/ss03 (1609).jpg,image_natural,0.6976
BIQ2021/Images/ss03 (6237).jpg,image_natural,0.5014
BIQ2021/Images/ss03 (5889).jpg,image_natural,0.7786
BIQ2021/Images/ss03 (1409).jpg,image_natural,0.6608
BIQ2021/Images/ss03 (3257).jpg,image_natural,0.8045
BIQ2021/Images/ss01 (1620).jpg,image_natural,0.5298
BIQ2021/Images/ss03 (3234).jpg,image_natural,0.902
BIQ2021/Images/ss01 (522).jpg,image_natural,0.7913
BIQ2021/Images/ss01 (393).jpg,image_natural,0.291
BIQ2021/Images/ss01 (1482).jpg,image_natural,0.2021
BIQ2021/Images/ss03 (5241).jpg,image_natural,0.7671
BIQ2021/Images/ss01 (1229).jpg,image_natural,0.8026
BIQ2021/Images/ss03 (3527).jpg,image_natural,0.7799
BIQ2021/Images/ss03 (6078).jpg,image_natural,0.7934
BIQ2021/Images/ss03 (5434).jpg,image_natural,0.8276
BIQ2021/Images/ss03 (5114).jpg,image_natural,0.6097
BIQ2021/Images/ss02 (1535).jpg,image_natural,0.2064
BIQ2021/Images/ss03 (6370).jpg,image_natural,0.4168
BIQ2021/Images/ss02 (957).jpg,image_natural,0.6292
BIQ2021/Images/ss03 (6305).jpg,image_natural,0.7355
BIQ2021/Images/ss02 (1666).jpg,image_natural,0.4743
BIQ2021/Images/ss02 (1897).jpg,image_natural,0.5973
BIQ2021/Images/ss03 (3175).jpg,image_natural,0.7301
BIQ2021/Images/ss03 (5173).jpg,image_natural,0.7262
BIQ2021/Images/ss02 (697).jpg,image_natural,0.5146
BIQ2021/Images/ss03 (3131).jpg,image_natural,0.7209
BIQ2021/Images/ss03 (6601).jpg,image_natural,0.7026
BIQ2021/Images/ss03 (1715).jpg,image_natural,0.7324
BIQ2021/Images/ss01 (1530).jpg,image_natural,0.2151
BIQ2021/Images/ss03 (2986).jpg,image_natural,0.7682
BIQ2021/Images/ss02 (1713).jpg,image_natural,0.3331
BIQ2021/Images/ss02 (896).jpg,image_natural,0.4067
BIQ2021/Images/ss02 (1904).jpg,image_natural,0.6009
BIQ2021/Images/ss03 (1971).jpg,image_natural,0.6776
BIQ2021/Images/ss03 (6750).jpg,image_natural,0.7326
BIQ2021/Images/ss03 (3986).jpg,image_natural,0.777
BIQ2021/Images/ss03 (857).jpg,image_natural,0.9091
BIQ2021/Images/ss03 (7414).jpg,image_natural,0.7989
BIQ2021/Images/ss02 (1153).jpg,image_natural,0.4648
BIQ2021/Images/ss03 (1672).jpg,image_natural,0.8106
BIQ2021/Images/ss02 (1820).jpg,image_natural,0.5025
BIQ2021/Images/ss03 (3402).jpg,image_natural,0.7852
BIQ2021/Images/ss01 (784).jpg,image_natural,0.3941
BIQ2021/Images/ss01 (1088).jpg,image_natural,0.4225
BIQ2021/Images/ss03 (4923).jpg,image_natural,0.8159
BIQ2021/Images/ss03 (4206).jpg,image_natural,0.8312
BIQ2021/Images/ss03 (3926).jpg,image_natural,0.8228
BIQ2021/Images/ss01 (1107).jpg,image_natural,0.4999
BIQ2021/Images/ss03 (938).jpg,image_natural,0.6931
BIQ2021/Images/ss03 (7780).jpg,image_natural,0.7344
BIQ2021/Images/ss03 (6651).jpg,image_natural,0.6212
BIQ2021/Images/ss02 (1083).jpg,image_natural,0.2948
BIQ2021/Images/ss01 (381).jpg,image_natural,0.4294
BIQ2021/Images/ss03 (553).jpg,image_natural,0.512
BIQ2021/Images/ss03 (1758).jpg,image_natural,0.7504
BIQ2021/Images/ss03 (5496).jpg,image_natural,0.903
BIQ2021/Images/ss01 (1756).jpg,image_natural,0.4735
BIQ2021/Images/ss03 (3423).jpg,image_natural,0.8217
BIQ2021/Images/ss03 (3237).jpg,image_natural,0.8218
BIQ2021/Images/ss03 (704).jpg,image_natural,0.8502
BIQ2021/Images/ss03 (2611).jpg,image_natural,0.8826
BIQ2021/Images/ss02 (333).jpg,image_natural,0.2699
BIQ2021/Images/ss03 (4958).jpg,image_natural,0.7923
BIQ2021/Images/ss03 (1982).jpg,image_natural,0.878
BIQ2021/Images/ss03 (5778).jpg,image_natural,0.8471
BIQ2021/Images/ss01 (178).jpg,image_natural,0.275
BIQ2021/Images/ss03 (5629).jpg,image_natural,0.6137
BIQ2021/Images/ss03 (4214).jpg,image_natural,0.8075
BIQ2021/Images/ss02 (512).jpg,image_natural,0.2194
BIQ2021/Images/ss03 (7469).jpg,image_natural,0.8464
BIQ2021/Images/ss01 (367).jpg,image_natural,0.1396
BIQ2021/Images/ss01 (1673).jpg,image_natural,0.441
BIQ2021/Images/ss03 (931).jpg,image_natural,0.5589
BIQ2021/Images/ss03 (382).jpg,image_natural,0.8094
BIQ2021/Images/ss02 (382).jpg,image_natural,0.5854
BIQ2021/Images/ss01 (1395).jpg,image_natural,0.372
BIQ2021/Images/ss01 (1428).jpg,image_natural,0.1752
BIQ2021/Images/ss03 (2690).jpg,image_natural,0.6837
BIQ2021/Images/ss02 (687).jpg,image_natural,0.1916
BIQ2021/Images/ss03 (6957).jpg,image_natural,0.7602
BIQ2021/Images/ss03 (5440).jpg,image_natural,0.797
BIQ2021/Images/ss03 (161).jpg,image_natural,0.8041
BIQ2021/Images/ss03 (7459).jpg,image_natural,0.7897
BIQ2021/Images/ss03 (114).jpg,image_natural,0.8659
BIQ2021/Images/ss01 (1869).jpg,image_natural,0.2989
BIQ2021/Images/ss03 (783).jpg,image_natural,0.8716
BIQ2021/Images/ss01 (1606).jpg,image_natural,0.7168
