dis_img_path,dis_type,ref_img_path,score
KADID-10k/images/I01_01_01.png,GBLUR,KADID-10k/images/I01.png,4.57
KADID-10k/images/I01_01_02.png,GBLUR,KADID-10k/images/I01.png,4.33
KADID-10k/images/I01_01_03.png,GBLUR,KADID-10k/images/I01.png,2.67
KADID-10k/images/I01_01_04.png,GBLUR,KADID-10k/images/I01.png,1.67
KADID-10k/images/I01_01_05.png,GBLUR,KADID-10k/images/I01.png,1.1
KADID-10k/images/I01_02_01.png,Lens_Blur,KADID-10k/images/I01.png,3.83
KADID-10k/images/I01_02_02.png,Lens_Blur,KADID-10k/images/I01.png,2.27
KADID-10k/images/I01_02_03.png,Lens_Blur,KADID-10k/images/I01.png,1.53
KADID-10k/images/I01_02_04.png,Lens_Blur,KADID-10k/images/I01.png,1.23
KADID-10k/images/I01_02_05.png,Lens_Blur,KADID-10k/images/I01.png,1.2
KADID-10k/images/I01_03_01.png,Motion_Blur,KADID-10k/images/I01.png,4.73
KADID-10k/images/I01_03_02.png,Motion_Blur,KADID-10k/images/I01.png,3.97
KADID-10k/images/I01_03_03.png,Motion_Blur,KADID-10k/images/I01.png,2.7
KADID-10k/images/I01_03_04.png,Motion_Blur,KADID-10k/images/I01.png,2.03
KADID-10k/images/I01_03_05.png,Motion_Blur,KADID-10k/images/I01.png,1.5
KADID-10k/images/I01_04_01.png,Color_Diffusion,KADID-10k/images/I01.png,4.73
KADID-10k/images/I01_04_02.png,Color_Diffusion,KADID-10k/images/I01.png,2.17
KADID-10k/images/I01_04_03.png,Color_Diffusion,KADID-10k/images/I01.png,1.37
KADID-10k/images/I01_04_04.png,Color_Diffusion,KADID-10k/images/I01.png,1.5
KADID-10k/images/I01_04_05.png,Color_Diffusion,KADID-10k/images/I01.png,1.47
KADID-10k/images/I01_05_01.png,Color_Shift,KADID-10k/images/I01.png,4
KADID-10k/images/I01_05_02.png,Color_Shift,KADID-10k/images/I01.png,2.2
KADID-10k/images/I01_05_03.png,Color_Shift,KADID-10k/images/I01.png,1.57
KADID-10k/images/I01_05_04.png,Color_Shift,KADID-10k/images/I01.png,1.33
KADID-10k/images/I01_05_05.png,Color_Shift,KADID-10k/images/I01.png,1.6
KADID-10k/images/I01_06_01.png,Color_Quantization,KADID-10k/images/I01.png,4.23
KADID-10k/images/I01_06_02.png,Color_Quantization,KADID-10k/images/I01.png,4.4
KADID-10k/images/I01_06_03.png,Color_Quantization,KADID-10k/images/I01.png,3.9
KADID-10k/images/I01_06_04.png,Color_Quantization,KADID-10k/images/I01.png,2.9
KADID-10k/images/I01_06_05.png,Color_Quantization,KADID-10k/images/I01.png,2.27
KADID-10k/images/I01_07_01.png,Saturation_Dist._HSV,KADID-10k/images/I01.png,2.73
KADID-10k/images/I01_07_02.png,Saturation_Dist._HSV,KADID-10k/images/I01.png,2.5
KADID-10k/images/I01_07_03.png,Saturation_Dist._HSV,KADID-10k/images/I01.png,2.27
KADID-10k/images/I01_07_04.png,Saturation_Dist._HSV,KADID-10k/images/I01.png,2.47
KADID-10k/images/I01_07_05.png,Saturation_Dist._HSV,KADID-10k/images/I01.png,2.2
KADID-10k/images/I01_08_01.png,Saturation_Dist._Lab,KADID-10k/images/I01.png,4.7
KADID-10k/images/I01_08_02.png,Saturation_Dist._Lab,KADID-10k/images/I01.png,3.77
KADID-10k/images/I01_08_03.png,Saturation_Dist._Lab,KADID-10k/images/I01.png,2.73
KADID-10k/images/I01_08_04.png,Saturation_Dist._Lab,KADID-10k/images/I01.png,1.97
KADID-10k/images/I01_08_05.png,Saturation_Dist._Lab,KADID-10k/images/I01.png,1.67
KADID-10k/images/I01_09_01.png,JP2K,KADID-10k/images/I01.png,4.6
KADID-10k/images/I01_09_02.png,JP2K,KADID-10k/images/I01.png,4.67
KADID-10k/images/I01_09_03.png,JP2K,KADID-10k/images/I01.png,4.4
KADID-10k/images/I01_09_04.png,JP2K,KADID-10k/images/I01.png,2.9
KADID-10k/images/I01_09_05.png,JP2K,KADID-10k/images/I01.png,1.37
KADID-10k/images/I01_10_01.png,JPEG,KADID-10k/images/I01.png,4.37
KADID-10k/images/I01_10_02.png,JPEG,KADID-10k/images/I01.png,3.93
KADID-10k/images/I01_10_03.png,JPEG,KADID-10k/images/I01.png,3.77
KADID-10k/images/I01_10_04.png,JPEG,KADID-10k/images/I01.png,1.58
KADID-10k/images/I01_10_05.png,JPEG,KADID-10k/images/I01.png,1.17
KADID-10k/images/I01_11_01.png,AWGN,KADID-10k/images/I01.png,4.03
KADID-10k/images/I01_11_02.png,AWGN,KADID-10k/images/I01.png,3.27
KADID-10k/images/I01_11_03.png,AWGN,KADID-10k/images/I01.png,2.67
KADID-10k/images/I01_11_04.png,AWGN,KADID-10k/images/I01.png,2.27
KADID-10k/images/I01_11_05.png,AWGN,KADID-10k/images/I01.png,2.37
KADID-10k/images/I01_12_01.png,AWGN_YCbCr,KADID-10k/images/I01.png,4.43
KADID-10k/images/I01_12_02.png,AWGN_YCbCr,KADID-10k/images/I01.png,3.7
KADID-10k/images/I01_12_03.png,AWGN_YCbCr,KADID-10k/images/I01.png,2.77
KADID-10k/images/I01_12_04.png,AWGN_YCbCr,KADID-10k/images/I01.png,2.37
KADID-10k/images/I01_12_05.png,AWGN_YCbCr,KADID-10k/images/I01.png,1.97
KADID-10k/images/I01_13_01.png,Impulse_Noise,KADID-10k/images/I01.png,3.67
KADID-10k/images/I01_13_02.png,Impulse_Noise,KADID-10k/images/I01.png,2.87
KADID-10k/images/I01_13_03.png,Impulse_Noise,KADID-10k/images/I01.png,2.6
KADID-10k/images/I01_13_04.png,Impulse_Noise,KADID-10k/images/I01.png,2.07
KADID-10k/images/I01_13_05.png,Impulse_Noise,KADID-10k/images/I01.png,2.03
KADID-10k/images/I01_14_01.png,Multiplicative_Noise,KADID-10k/images/I01.png,4.57
KADID-10k/images/I01_14_02.png,Multiplicative_Noise,KADID-10k/images/I01.png,3.57
KADID-10k/images/I01_14_03.png,Multiplicative_Noise,KADID-10k/images/I01.png,3.13
KADID-10k/images/I01_14_04.png,Multiplicative_Noise,KADID-10k/images/I01.png,2.5
KADID-10k/images/I01_14_05.png,Multiplicative_Noise,KADID-10k/images/I01.png,2.27
KADID-10k/images/I01_15_01.png,Denoising,KADID-10k/images/I01.png,3.57
KADID-10k/images/I01_15_02.png,Denoising,KADID-10k/images/I01.png,2.63
KADID-10k/images/I01_15_03.png,Denoising,KADID-10k/images/I01.png,1.77
KADID-10k/images/I01_15_04.png,Denoising,KADID-10k/images/I01.png,1.4
KADID-10k/images/I01_15_05.png,Denoising,KADID-10k/images/I01.png,1.33
KADID-10k/images/I01_16_01.png,Brighten,KADID-10k/images/I01.png,4.37
KADID-10k/images/I01_16_02.png,Brighten,KADID-10k/images/I01.png,4.47
KADID-10k/images/I01_16_03.png,Brighten,KADID-10k/images/I01.png,3.94
KADID-10k/images/I01_16_04.png,Brighten,KADID-10k/images/I01.png,3.17
KADID-10k/images/I01_16_05.png,Brighten,KADID-10k/images/I01.png,2.18
KADID-10k/images/I01_17_01.png,Darken,KADID-10k/images/I01.png,4.5
KADID-10k/images/I01_17_02.png,Darken,KADID-10k/images/I01.png,4.57
KADID-10k/images/I01_17_03.png,Darken,KADID-10k/images/I01.png,4.33
KADID-10k/images/I01_17_04.png,Darken,KADID-10k/images/I01.png,3.4
KADID-10k/images/I01_17_05.png,Darken,KADID-10k/images/I01.png,2.13
KADID-10k/images/I01_18_01.png,Mean_Shift,KADID-10k/images/I01.png,4.5
KADID-10k/images/I01_18_02.png,Mean_Shift,KADID-10k/images/I01.png,4.57
KADID-10k/images/I01_18_03.png,Mean_Shift,KADID-10k/images/I01.png,4.57
KADID-10k/images/I01_18_04.png,Mean_Shift,KADID-10k/images/I01.png,4.37
KADID-10k/images/I01_18_05.png,Mean_Shift,KADID-10k/images/I01.png,3.97
KADID-10k/images/I01_19_01.png,Jitter,KADID-10k/images/I01.png,4.53
KADID-10k/images/I01_19_02.png,Jitter,KADID-10k/images/I01.png,3.93
KADID-10k/images/I01_19_03.png,Jitter,KADID-10k/images/I01.png,2.77
KADID-10k/images/I01_19_04.png,Jitter,KADID-10k/images/I01.png,1.53
KADID-10k/images/I01_19_05.png,Jitter,KADID-10k/images/I01.png,1.37
KADID-10k/images/I01_20_01.png,Non-eccentricity_patch,KADID-10k/images/I01.png,4.53
KADID-10k/images/I01_20_02.png,Non-eccentricity_patch,KADID-10k/images/I01.png,3.9
KADID-10k/images/I01_20_03.png,Non-eccentricity_patch,KADID-10k/images/I01.png,4
KADID-10k/images/I01_20_04.png,Non-eccentricity_patch,KADID-10k/images/I01.png,3.33
KADID-10k/images/I01_20_05.png,Non-eccentricity_patch,KADID-10k/images/I01.png,3.23
KADID-10k/images/I01_21_01.png,Pixelate,KADID-10k/images/I01.png,3.37
KADID-10k/images/I01_21_02.png,Pixelate,KADID-10k/images/I01.png,2.57
KADID-10k/images/I01_21_03.png,Pixelate,KADID-10k/images/I01.png,2.03
KADID-10k/images/I01_21_04.png,Pixelate,KADID-10k/images/I01.png,2.13
