dis_img_path,dis_type,ref_img_path,score
MDID2016/distortion_images/img01_01.bmp,Multiply Dist.,MDID2016/reference_images/img01.bmp,2.4855
MDID2016/distortion_images/img01_02.bmp,Multiply Dist.,MDID2016/reference_images/img01.bmp,7.5241
MDID2016/distortion_images/img01_03.bmp,Multiply Dist.,MDID2016/reference_images/img01.bmp,5.455
MDID2016/distortion_images/img01_04.bmp,Multiply Dist.,MDID2016/reference_images/img01.bmp,2.2139
MDID2016/distortion_images/img01_05.bmp,Multiply Dist.,MDID2016/reference_images/img01.bmp,1.3786
MDID2016/distortion_images/img01_06.bmp,Multiply Dist.,MDID2016/reference_images/img01.bmp,0.4467
MDID2016/distortion_images/img01_07.bmp,Multiply Dist.,MDID2016/reference_images/img01.bmp,6.4514
MDID2016/distortion_images/img01_08.bmp,Multiply Dist.,MDID2016/reference_images/img01.bmp,2.4474
MDID2016/distortion_images/img01_09.bmp,Multiply Dist.,MDID2016/reference_images/img01.bmp,0.078
MDID2016/distortion_images/img01_10.bmp,Multiply Dist.,MDID2016/reference_images/img01.bmp,4.9901
MDID2016/distortion_images/img01_11.bmp,Multiply Dist.,MDID2016/reference_images/img01.bmp,5.4749
MDID2016/distortion_images/img01_12.bmp,Multiply Dist.,MDID2016/reference_images/img01.bmp,7.7382
MDID2016/distortion_images/img01_13.bmp,Multiply Dist.,MDID2016/reference_images/img01.bmp,5.26
MDID2016/distortion_images/img01_14.bmp,Multiply Dist.,MDID2016/reference_images/img01.bmp,7.1555
MDID2016/distortion_images/img01_15.bmp,Multiply Dist.,MDID2016/reference_images/img01.bmp,3.1511
MDID2016/distortion_images/img01_16.bmp,Multiply Dist.,MDID2016/reference_images/img01.bmp,4.0864
MDID2016/distortion_images/img01_17.bmp,Multiply Dist.,MDID2016/reference_images/img01.bmp,0.3717
MDID2016/distortion_images/img01_18.bmp,Multiply Dist.,MDID2016/reference_images/img01.bmp,6.9473
