dis_img_path,dis_type,ref_img_path,score
PDAP-HDDS/distorted_image/awgn/Animals_sky_sea_type1_awgn_1.bmp,awgn,PDAP-HDDS/reference_image/all_reference_image/Animals_sky_sea_type1.bmp,3.6522
PDAP-HDDS/distorted_image/awgn/Animals_sky_sea_type1_awgn_2.bmp,awgn,PDAP-HDDS/reference_image/all_reference_image/Animals_sky_sea_type1.bmp,3.4783
PDAP-HDDS/distorted_image/awgn/Animals_sky_sea_type1_awgn_3.bmp,awgn,PDAP-HDDS/reference_image/all_reference_image/Animals_sky_sea_type1.bmp,2.9565
PDAP-HDDS/distorted_image/awgn/Animals_sky_sea_type1_awgn_4.bmp,awgn,PDAP-HDDS/reference_image/all_reference_image/Animals_sky_sea_type1.bmp,2.2174
PDAP-HDDS/distorted_image/awgn/Animals_sky_sea_type1_awgn_5.bmp,awgn,PDAP-HDDS/reference_image/all_reference_image/Animals_sky_sea_type1.bmp,1.5217
PDAP-HDDS/distorted_image/awgn/Animals_sky_sea_type2_awgn_1.bmp,awgn,PDAP-HDDS/reference_image/all_reference_image/Animals_sky_sea_type2.bmp,4.087
PDAP-HDDS/distorted_image/awgn/Animals_sky_sea_type2_awgn_2.bmp,awgn,PDAP-HDDS/reference_image/all_reference_image/Animals_sky_sea_type2.bmp,3.9565
PDAP-HDDS/distorted_image/awgn/Animals_sky_sea_type2_awgn_3.bmp,awgn,PDAP-HDDS/reference_image/all_reference_image/Animals_sky_sea_type2.bmp,3.087
PDAP-HDDS/distorted_image/awgn/Animals_sky_sea_type2_awgn_4.bmp,awgn,PDAP-HDDS/reference_image/all_reference_image/Animals_sky_sea_type2.bmp,2.3043
PDAP-HDDS/distorted_image/awgn/Animals_sky_sea_type2_awgn_5.bmp,awgn,PDAP-HDDS/reference_image/all_reference_image/Animals_sky_sea_type2.bmp,1.6522
PDAP-HDDS/distorted_image/awgn/Animals_sky_sea_type3_awgn_1.bmp,awgn,PDAP-HDDS/reference_image/all_reference_image/Animals_sky_sea_type3.bmp,4.5217
PDAP-HDDS/distorted_image/awgn/Animals_sky_sea_type3_awgn_2.bmp,awgn,PDAP-HDDS/reference_image/all_reference_image/Animals_sky_sea_type3.bmp,3.4783
PDAP-HDDS/distorted_image/awgn/Animals_sky_sea_type3_awgn_3.bmp,awgn,PDAP-HDDS/reference_image/all_reference_image/Animals_sky_sea_type3.bmp,2.8261
PDAP-HDDS/distorted_image/awgn/Animals_sky_sea_type3_awgn_4.bmp,awgn,PDAP-HDDS/reference_image/all_reference_image/Animals_sky_sea_type3.bmp,2.2174
PDAP-HDDS/distorted_image/awgn/Animals_sky_sea_type3_awgn_5.bmp,awgn,PDAP-HDDS/reference_image/all_reference_image/Animals_sky_sea_type3.bmp,1.8696
PDAP-HDDS/distorted_image/awgn/Animals_sky_sea_type4_awgn_1.bmp,awgn,PDAP-HDDS/reference_image/all_reference_image/Animals_sky_sea_type4.bmp,4.7826
PDAP-HDDS/distorted_image/awgn/Animals_sky_sea_type4_awgn_2.bmp,awgn,PDAP-HDDS/reference_image/all_reference_image/Animals_sky_sea_type4.bmp,3.913
PDAP-HDDS/distorted_image/awgn/Animals_sky_sea_type4_awgn_3.bmp,awgn,PDAP-HDDS/reference_image/all_reference_image/Animals_sky_sea_type4.bmp,2.6522
PDAP-HDDS/distorted_image/awgn/Animals_sky_sea_type4_awgn_4.bmp,awgn,PDAP-HDDS/reference_image/all_reference_image/Animals_sky_sea_type4.bmp,2.1739
PDAP-HDDS/distorted_image/awgn/Animals_sky_sea_type4_awgn_5.bmp,awgn,PDAP-HDDS/reference_image/all_reference_image/Animals_sky_sea_type4.bmp,1.4348
PDAP-HDDS/distorted_image/awgn/Animals_sky_sea_type5_awgn_1.bmp,awgn,PDAP-HDDS/reference_image/all_reference_image/Animals_sky_sea_type5.bmp,4.6522
PDAP-HDDS/distorted_image/awgn/Animals_sky_sea_type5_awgn_2.bmp,awgn,PDAP-HDDS/reference_image/all_reference_image/Animals_sky_sea_type5.bmp,3.6522
PDAP-HDDS/distorted_image/awgn/Animals_sky_sea_type5_awgn_3.bmp,awgn,PDAP-HDDS/reference_image/all_reference_image/Animals_sky_sea_type5.bmp,2.913
PDAP-HDDS/distorted_image/awgn/Animals_sky_sea_type5_awgn_4.bmp,awgn,PDAP-HDDS/reference_image/all_reference_image/Animals_sky_sea_type5.bmp,2.5217
