dis_img_path,dis_type,ref_img_path,score
SDIVL/SDIVL/noise/arrow/arrow_STD_01.png,AWGN,SDIVL/SDIVL/reference/arrow.png,86.5926
SDIVL/SDIVL/noise/arrow/arrow_STD_02.png,AWGN,SDIVL/SDIVL/reference/arrow.png,83
SDIVL/SDIVL/noise/arrow/arrow_STD_03.png,AWGN,SDIVL/SDIVL/reference/arrow.png,76.9259
SDIVL/SDIVL/noise/arrow/arrow_STD_04.png,AWGN,SDIVL/SDIVL/reference/arrow.png,73.963
SDIVL/SDIVL/noise/arrow/arrow_STD_05.png,AWGN,SDIVL/SDIVL/reference/arrow.png,62.4815
SDIVL/SDIVL/noise/arrow/arrow_STD_06.png,AWGN,SDIVL/SDIVL/reference/arrow.png,57.2963
SDIVL/SDIVL/noise/arrow/arrow_STD_08.png,AWGN,SDIVL/SDIVL/reference/arrow.png,47.7407
SDIVL/SDIVL/noise/arrow/arrow_STD_10.png,AWGN,SDIVL/SDIVL/reference/arrow.png,39.8889
SDIVL/SDIVL/noise/arrow/arrow_STD_12.png,AWGN,SDIVL/SDIVL/reference/arrow.png,32.6667
SDIVL/SDIVL/noise/arrow/arrow_STD_14.png,AWGN,SDIVL/SDIVL/reference/arrow.png,29.8519
SDIVL/SDIVL/noise/baby/baby_STD_01.png,AWGN,SDIVL/SDIVL/reference/baby.png,83.9231
SDIVL/SDIVL/noise/baby/baby_STD_02.png,AWGN,SDIVL/SDIVL/reference/baby.png,77.9615
SDIVL/SDIVL/noise/baby/baby_STD_03.png,AWGN,SDIVL/SDIVL/reference/baby.png,68.1154
SDIVL/SDIVL/noise/baby/baby_STD_04.png,AWGN,SDIVL/SDIVL/reference/baby.png,57
SDIVL/SDIVL/noise/baby/baby_STD_05.png,AWGN,SDIVL/SDIVL/reference/baby.png,46.8846
SDIVL/SDIVL/noise/baby/baby_STD_06.png,AWGN,SDIVL/SDIVL/reference/baby.png,39.1923
SDIVL/SDIVL/noise/baby/baby_STD_08.png,AWGN,SDIVL/SDIVL/reference/baby.png,28.9615
SDIVL/SDIVL/noise/baby/baby_STD_10.png,AWGN,SDIVL/SDIVL/reference/baby.png,20.2692
SDIVL/SDIVL/noise/baby/baby_STD_12.png,AWGN,SDIVL/SDIVL/reference/baby.png,15
SDIVL/SDIVL/noise/baby/baby_STD_14.png,AWGN,SDIVL/SDIVL/reference/baby.png,13.9615
SDIVL/SDIVL/noise/bus/bus_STD_01.png,AWGN,SDIVL/SDIVL/reference/bus.png,85.8846
SDIVL/SDIVL/noise/bus/bus_STD_02.png,AWGN,SDIVL/SDIVL/reference/bus.png,82.5
SDIVL/SDIVL/noise/bus/bus_STD_03.png,AWGN,SDIVL/SDIVL/reference/bus.png,75.9615
SDIVL/SDIVL/noise/bus/bus_STD_04.png,AWGN,SDIVL/SDIVL/reference/bus.png,66.9615
SDIVL/SDIVL/noise/bus/bus_STD_05.png,AWGN,SDIVL/SDIVL/reference/bus.png,58.9615
SDIVL/SDIVL/noise/bus/bus_STD_06.png,AWGN,SDIVL/SDIVL/reference/bus.png,50.4615
SDIVL/SDIVL/noise/bus/bus_STD_08.png,AWGN,SDIVL/SDIVL/reference/bus.png,39.5769
SDIVL/SDIVL/noise/bus/bus_STD_10.png,AWGN,SDIVL/SDIVL/reference/bus.png,32.3846
SDIVL/SDIVL/noise/bus/bus_STD_12.png,AWGN,SDIVL/SDIVL/reference/bus.png,25.0385
SDIVL/SDIVL/noise/bus/bus_STD_14.png,AWGN,SDIVL/SDIVL/reference/bus.png,25.0769
SDIVL/SDIVL/noise/candies/candies_STD_01.png,AWGN,SDIVL/SDIVL/reference/candies.png,84.9643
SDIVL/SDIVL/noise/candies/candies_STD_02.png,AWGN,SDIVL/SDIVL/reference/candies.png,82.0357
SDIVL/SDIVL/noise/candies/candies_STD_03.png,AWGN,SDIVL/SDIVL/reference/candies.png,74.2143
SDIVL/SDIVL/noise/candies/candies_STD_04.png,AWGN,SDIVL/SDIVL/reference/candies.png,63.1786
SDIVL/SDIVL/noise/candies/candies_STD_05.png,AWGN,SDIVL/SDIVL/reference/candies.png,62.2857
SDIVL/SDIVL/noise/candies/candies_STD_06.png,AWGN,SDIVL/SDIVL/reference/candies.png,53
SDIVL/SDIVL/noise/candies/candies_STD_08.png,AWGN,SDIVL/SDIVL/reference/candies.png,44.6429
SDIVL/SDIVL/noise/candies/candies_STD_10.png,AWGN,SDIVL/SDIVL/reference/candies.png,36.75
SDIVL/SDIVL/noise/candies/candies_STD_12.png,AWGN,SDIVL/SDIVL/reference/candies.png,34.0714
SDIVL/SDIVL/noise/candies/candies_STD_14.png,AWGN,SDIVL/SDIVL/reference/candies.png,24.25
SDIVL/SDIVL/noise/chianti/chianti_STD_01.png,AWGN,SDIVL/SDIVL/reference/chianti.png,83.2692
SDIVL/SDIVL/noise/chianti/chianti_STD_02.png,AWGN,SDIVL/SDIVL/reference/chianti.png,76.9231
SDIVL/SDIVL/noise/chianti/chianti_STD_03.png,AWGN,SDIVL/SDIVL/reference/chianti.png,58.3846
SDIVL/SDIVL/noise/chianti/chianti_STD_04.png,AWGN,SDIVL/SDIVL/reference/chianti.png,50.5
SDIVL/SDIVL/noise/chianti/chianti_STD_05.png,AWGN,SDIVL/SDIVL/reference/chianti.png,41.3077
SDIVL/SDIVL/noise/chianti/chianti_STD_06.png,AWGN,SDIVL/SDIVL/reference/chianti.png,34.2308
SDIVL/SDIVL/noise/chianti/chianti_STD_08.png,AWGN,SDIVL/SDIVL/reference/chianti.png,23.6154
SDIVL/SDIVL/noise/chianti/chianti_STD_10.png,AWGN,SDIVL/SDIVL/reference/chianti.png,21.4615
SDIVL/SDIVL/noise/chianti/chianti_STD_12.png,AWGN,SDIVL/SDIVL/reference/chianti.png,15.4615
SDIVL/SDIVL/noise/chianti/chianti_STD_14.png,AWGN,SDIVL/SDIVL/reference/chianti.png,14.8077
SDIVL/SDIVL/noise/clips/clips_STD_01.png,AWGN,SDIVL/SDIVL/reference/clips.png,84.8148
SDIVL/SDIVL/noise/clips/clips_STD_02.png,AWGN,SDIVL/SDIVL/reference/clips.png,80.9259
SDIVL/SDIVL/noise/clips/clips_STD_03.png,AWGN,SDIVL/SDIVL/reference/clips.png,71.4444
SDIVL/SDIVL/noise/clips/clips_STD_04.png,AWGN,SDIVL/SDIVL/reference/clips.png,53.8519
SDIVL/SDIVL/noise/clips/clips_STD_05.png,AWGN,SDIVL/SDIVL/reference/clips.png,45.2963
SDIVL/SDIVL/noise/clips/clips_STD_06.png,AWGN,SDIVL/SDIVL/reference/clips.png,41.4815
SDIVL/SDIVL/noise/clips/clips_STD_08.png,AWGN,SDIVL/SDIVL/reference/clips.png,30.4444
SDIVL/SDIVL/noise/clips/clips_STD_10.png,AWGN,SDIVL/SDIVL/reference/clips.png,28.0741
SDIVL/SDIVL/noise/clips/clips_STD_12.png,AWGN,SDIVL/SDIVL/reference/clips.png,21.1481
SDIVL/SDIVL/noise/clips/clips_STD_14.png,AWGN,SDIVL/SDIVL/reference/clips.png,18.1111
SDIVL/SDIVL/noise/dancers1/dancers1_STD_01.png,AWGN,SDIVL/SDIVL/reference/dancers1.png,81.5769
SDIVL/SDIVL/noise/dancers1/dancers1_STD_02.png,AWGN,SDIVL/SDIVL/reference/dancers1.png,71.0385
