dis_img_path,dis_type,ref_img_path,score
TID2013/distorted_images/i01_01_1.bmp,AWGN,TID2013/reference_images/i01.bmp,5.5143
TID2013/distorted_images/i01_01_2.bmp,AWGN,TID2013/reference_images/i01.bmp,5.5676
TID2013/distorted_images/i01_01_3.bmp,AWGN,TID2013/reference_images/i01.bmp,4.9444
TID2013/distorted_images/i01_01_4.bmp,AWGN,TID2013/reference_images/i01.bmp,4.3784
TID2013/distorted_images/i01_01_5.bmp,AWGN,TID2013/reference_images/i01.bmp,3.8649
TID2013/distorted_images/i01_02_1.bmp,Chroma_Noise,TID2013/reference_images/i01.bmp,6.0286
TID2013/distorted_images/i01_02_2.bmp,Chroma_Noise,TID2013/reference_images/i01.bmp,6.1081
TID2013/distorted_images/i01_02_3.bmp,Chroma_Noise,TID2013/reference_images/i01.bmp,5.3889
TID2013/distorted_images/i01_02_4.bmp,Chroma_Noise,TID2013/reference_images/i01.bmp,4.7143
TID2013/distorted_images/i01_02_5.bmp,Chroma_Noise,TID2013/reference_images/i01.bmp,4.3611
TID2013/distorted_images/i01_03_1.bmp,Pink_Noise,TID2013/reference_images/i01.bmp,4.7714
TID2013/distorted_images/i01_03_2.bmp,Pink_Noise,TID2013/reference_images/i01.bmp,4.2703
TID2013/distorted_images/i01_03_3.bmp,Pink_Noise,TID2013/reference_images/i01.bmp,3.7027
TID2013/distorted_images/i01_03_4.bmp,Pink_Noise,TID2013/reference_images/i01.bmp,3.1944
TID2013/distorted_images/i01_03_5.bmp,Pink_Noise,TID2013/reference_images/i01.bmp,2.7143
TID2013/distorted_images/i01_04_1.bmp,Masked_Noise,TID2013/reference_images/i01.bmp,5.9714
TID2013/distorted_images/i01_04_2.bmp,Masked_Noise,TID2013/reference_images/i01.bmp,5.7568
TID2013/distorted_images/i01_04_3.bmp,Masked_Noise,TID2013/reference_images/i01.bmp,5.2703
TID2013/distorted_images/i01_04_4.bmp,Masked_Noise,TID2013/reference_images/i01.bmp,5.2432
TID2013/distorted_images/i01_04_5.bmp,Masked_Noise,TID2013/reference_images/i01.bmp,4.7143
TID2013/distorted_images/i01_05_1.bmp,High_Frequency_Noise,TID2013/reference_images/i01.bmp,5.9189
TID2013/distorted_images/i01_05_2.bmp,High_Frequency_Noise,TID2013/reference_images/i01.bmp,5.7027
TID2013/distorted_images/i01_05_3.bmp,High_Frequency_Noise,TID2013/reference_images/i01.bmp,5.0833
TID2013/distorted_images/i01_05_4.bmp,High_Frequency_Noise,TID2013/reference_images/i01.bmp,4.1389
TID2013/distorted_images/i01_05_5.bmp,High_Frequency_Noise,TID2013/reference_images/i01.bmp,3.1389
TID2013/distorted_images/i01_06_1.bmp,Impluse_Noise,TID2013/reference_images/i01.bmp,4
TID2013/distorted_images/i01_06_2.bmp,Impluse_Noise,TID2013/reference_images/i01.bmp,3.8919
TID2013/distorted_images/i01_06_3.bmp,Impluse_Noise,TID2013/reference_images/i01.bmp,3.7297
TID2013/distorted_images/i01_06_4.bmp,Impluse_Noise,TID2013/reference_images/i01.bmp,3.4857
TID2013/distorted_images/i01_06_5.bmp,Impluse_Noise,TID2013/reference_images/i01.bmp,2.9444
TID2013/distorted_images/i01_07_1.bmp,Quantization_Noise,TID2013/reference_images/i01.bmp,5.0833
TID2013/distorted_images/i01_07_2.bmp,Quantization_Noise,TID2013/reference_images/i01.bmp,4.75
TID2013/distorted_images/i01_07_3.bmp,Quantization_Noise,TID2013/reference_images/i01.bmp,4
TID2013/distorted_images/i01_07_4.bmp,Quantization_Noise,TID2013/reference_images/i01.bmp,3.2222
TID2013/distorted_images/i01_07_5.bmp,Quantization_Noise,TID2013/reference_images/i01.bmp,2.1944
TID2013/distorted_images/i01_08_1.bmp,GBLUR,TID2013/reference_images/i01.bmp,5.1892
TID2013/distorted_images/i01_08_2.bmp,GBLUR,TID2013/reference_images/i01.bmp,4.4722
TID2013/distorted_images/i01_08_3.bmp,GBLUR,TID2013/reference_images/i01.bmp,3.4865
TID2013/distorted_images/i01_08_4.bmp,GBLUR,TID2013/reference_images/i01.bmp,3
TID2013/distorted_images/i01_08_5.bmp,GBLUR,TID2013/reference_images/i01.bmp,2.1111
TID2013/distorted_images/i01_09_1.bmp,Denoising,TID2013/reference_images/i01.bmp,6.0833
TID2013/distorted_images/i01_09_2.bmp,Denoising,TID2013/reference_images/i01.bmp,5.1667
TID2013/distorted_images/i01_09_3.bmp,Denoising,TID2013/reference_images/i01.bmp,4.4286
TID2013/distorted_images/i01_09_4.bmp,Denoising,TID2013/reference_images/i01.bmp,2.8108
TID2013/distorted_images/i01_09_5.bmp,Denoising,TID2013/reference_images/i01.bmp,1.5405
TID2013/distorted_images/i01_10_1.bmp,JPEG,TID2013/reference_images/i01.bmp,5.973
TID2013/distorted_images/i01_10_2.bmp,JPEG,TID2013/reference_images/i01.bmp,5.9459
TID2013/distorted_images/i01_10_3.bmp,JPEG,TID2013/reference_images/i01.bmp,4.9167
TID2013/distorted_images/i01_10_4.bmp,JPEG,TID2013/reference_images/i01.bmp,3.2162
TID2013/distorted_images/i01_10_5.bmp,JPEG,TID2013/reference_images/i01.bmp,2.0811
TID2013/distorted_images/i01_11_1.bmp,JP2K,TID2013/reference_images/i01.bmp,5.9143
TID2013/distorted_images/i01_11_2.bmp,JP2K,TID2013/reference_images/i01.bmp,5.6757
TID2013/distorted_images/i01_11_3.bmp,JP2K,TID2013/reference_images/i01.bmp,4.6944
TID2013/distorted_images/i01_11_4.bmp,JP2K,TID2013/reference_images/i01.bmp,3.6757
TID2013/distorted_images/i01_11_5.bmp,JP2K,TID2013/reference_images/i01.bmp,1.4595
TID2013/distorted_images/i01_12_1.bmp,JPEG_Transmission_Error,TID2013/reference_images/i01.bmp,5.9459
TID2013/distorted_images/i01_12_2.bmp,JPEG_Transmission_Error,TID2013/reference_images/i01.bmp,5.8649
TID2013/distorted_images/i01_12_3.bmp,JPEG_Transmission_Error,TID2013/reference_images/i01.bmp,4.2162
TID2013/distorted_images/i01_12_4.bmp,JPEG_Transmission_Error,TID2013/reference_images/i01.bmp,3.8333
TID2013/distorted_images/i01_12_5.bmp,JPEG_Transmission_Error,TID2013/reference_images/i01.bmp,3.4324
TID2013/distorted_images/i01_13_1.bmp,JP2K_Transmission_Error,TID2013/reference_images/i01.bmp,5.4595
TID2013/distorted_images/i01_13_2.bmp,JP2K_Transmission_Error,TID2013/reference_images/i01.bmp,3.9143
TID2013/distorted_images/i01_13_3.bmp,JP2K_Transmission_Error,TID2013/reference_images/i01.bmp,3.2778
TID2013/distorted_images/i01_13_4.bmp,JP2K_Transmission_Error,TID2013/reference_images/i01.bmp,3.1667
TID2013/distorted_images/i01_13_5.bmp,JP2K_Transmission_Error,TID2013/reference_images/i01.bmp,3.1081
TID2013/distorted_images/i01_14_1.bmp,Non_Eccentricity_Pattern_Noise,TID2013/reference_images/i01.bmp,5.6944
TID2013/distorted_images/i01_14_2.bmp,Non_Eccentricity_Pattern_Noise,TID2013/reference_images/i01.bmp,6.0541
TID2013/distorted_images/i01_14_3.bmp,Non_Eccentricity_Pattern_Noise,TID2013/reference_images/i01.bmp,5.7568
TID2013/distorted_images/i01_14_4.bmp,Non_Eccentricity_Pattern_Noise,TID2013/reference_images/i01.bmp,5.5556
TID2013/distorted_images/i01_14_5.bmp,Non_Eccentricity_Pattern_Noise,TID2013/reference_images/i01.bmp,4.4706
TID2013/distorted_images/i01_15_1.bmp,Block_Dist.,TID2013/reference_images/i01.bmp,2.8333
TID2013/distorted_images/i01_15_2.bmp,Block_Dist.,TID2013/reference_images/i01.bmp,2.8286
TID2013/distorted_images/i01_15_3.bmp,Block_Dist.,TID2013/reference_images/i01.bmp,3.1081
TID2013/distorted_images/i01_15_4.bmp,Block_Dist.,TID2013/reference_images/i01.bmp,3.5833
TID2013/distorted_images/i01_15_5.bmp,Block_Dist.,TID2013/reference_images/i01.bmp,3.8919
TID2013/distorted_images/i01_16_1.bmp,Mean_Shift,TID2013/reference_images/i01.bmp,5.8056
TID2013/distorted_images/i01_16_2.bmp,Mean_Shift,TID2013/reference_images/i01.bmp,6.0541
TID2013/distorted_images/i01_16_3.bmp,Mean_Shift,TID2013/reference_images/i01.bmp,4.8889
TID2013/distorted_images/i01_16_4.bmp,Mean_Shift,TID2013/reference_images/i01.bmp,5.0278
TID2013/distorted_images/i01_16_5.bmp,Mean_Shift,TID2013/reference_images/i01.bmp,4.1944
TID2013/distorted_images/i01_17_1.bmp,Contrast_Dist.,TID2013/reference_images/i01.bmp,5.3514
TID2013/distorted_images/i01_17_2.bmp,Contrast_Dist.,TID2013/reference_images/i01.bmp,6.6216
TID2013/distorted_images/i01_17_3.bmp,Contrast_Dist.,TID2013/reference_images/i01.bmp,4.0811
TID2013/distorted_images/i01_17_4.bmp,Contrast_Dist.,TID2013/reference_images/i01.bmp,6.2432
TID2013/distorted_images/i01_17_5.bmp,Contrast_Dist.,TID2013/reference_images/i01.bmp,2.9714
TID2013/distorted_images/i01_18_1.bmp,Saturation_Dist.,TID2013/reference_images/i01.bmp,4.6216
TID2013/distorted_images/i01_18_2.bmp,Saturation_Dist.,TID2013/reference_images/i01.bmp,4.2222
TID2013/distorted_images/i01_18_3.bmp,Saturation_Dist.,TID2013/reference_images/i01.bmp,3.7714
TID2013/distorted_images/i01_18_4.bmp,Saturation_Dist.,TID2013/reference_images/i01.bmp,3.4722
TID2013/distorted_images/i01_18_5.bmp,Saturation_Dist.,TID2013/reference_images/i01.bmp,3.4167
TID2013/distorted_images/i01_19_1.bmp,Multi._Gaussian Noise,TID2013/reference_images/i01.bmp,5.9444
TID2013/distorted_images/i01_19_2.bmp,Multi._Gaussian Noise,TID2013/reference_images/i01.bmp,5.4722
TID2013/distorted_images/i01_19_3.bmp,Multi._Gaussian Noise,TID2013/reference_images/i01.bmp,5.0811
TID2013/distorted_images/i01_19_4.bmp,Multi._Gaussian Noise,TID2013/reference_images/i01.bmp,4.5278
TID2013/distorted_images/i01_19_5.bmp,Multi._Gaussian Noise,TID2013/reference_images/i01.bmp,3.9444
TID2013/distorted_images/i01_20_1.bmp,Comfort_Noise,TID2013/reference_images/i01.bmp,5.8571
TID2013/distorted_images/i01_20_2.bmp,Comfort_Noise,TID2013/reference_images/i01.bmp,5.8333
TID2013/distorted_images/i01_20_3.bmp,Comfort_Noise,TID2013/reference_images/i01.bmp,6.0278
TID2013/distorted_images/i01_20_4.bmp,Comfort_Noise,TID2013/reference_images/i01.bmp,5.0833
TID2013/distorted_images/i01_20_5.bmp,Comfort_Noise,TID2013/reference_images/i01.bmp,4.3333
TID2013/distorted_images/i01_21_1.bmp,Multiply_Dist.,TID2013/reference_images/i01.bmp,5.7027
TID2013/distorted_images/i01_21_2.bmp,Multiply_Dist.,TID2013/reference_images/i01.bmp,5.2778
TID2013/distorted_images/i01_21_3.bmp,Multiply_Dist.,TID2013/reference_images/i01.bmp,4.6757
TID2013/distorted_images/i01_21_4.bmp,Multiply_Dist.,TID2013/reference_images/i01.bmp,4.0571
TID2013/distorted_images/i01_21_5.bmp,Multiply_Dist.,TID2013/reference_images/i01.bmp,3.0541
TID2013/distorted_images/i01_22_1.bmp,Dithering,TID2013/reference_images/i01.bmp,5.5556
TID2013/distorted_images/i01_22_2.bmp,Dithering,TID2013/reference_images/i01.bmp,5.1892
TID2013/distorted_images/i01_22_3.bmp,Dithering,TID2013/reference_images/i01.bmp,4.3056
TID2013/distorted_images/i01_22_4.bmp,Dithering,TID2013/reference_images/i01.bmp,3.1622
TID2013/distorted_images/i01_22_5.bmp,Dithering,TID2013/reference_images/i01.bmp,2.1944
TID2013/distorted_images/i01_23_1.bmp,Chroma_Aberrations,TID2013/reference_images/i01.bmp,6.2857
TID2013/distorted_images/i01_23_2.bmp,Chroma_Aberrations,TID2013/reference_images/i01.bmp,5.6111
TID2013/distorted_images/i01_23_3.bmp,Chroma_Aberrations,TID2013/reference_images/i01.bmp,5.7778
TID2013/distorted_images/i01_23_4.bmp,Chroma_Aberrations,TID2013/reference_images/i01.bmp,4.8056
TID2013/distorted_images/i01_23_5.bmp,Chroma_Aberrations,TID2013/reference_images/i01.bmp,2.4054
TID2013/distorted_images/i01_24_1.bmp,Multiply_Dist.,TID2013/reference_images/i01.bmp,5.7027
TID2013/distorted_images/i01_24_2.bmp,Multiply_Dist.,TID2013/reference_images/i01.bmp,5.5833
TID2013/distorted_images/i01_24_3.bmp,Multiply_Dist.,TID2013/reference_images/i01.bmp,5.1081
TID2013/distorted_images/i01_24_4.bmp,Multiply_Dist.,TID2013/reference_images/i01.bmp,3.0811
TID2013/distorted_images/i01_24_5.bmp,Multiply_Dist.,TID2013/reference_images/i01.bmp,0.45946
TID2013/distorted_images/i02_01_1.bmp,AWGN,TID2013/reference_images/i02.bmp,5.7429
TID2013/distorted_images/i02_01_2.bmp,AWGN,TID2013/reference_images/i02.bmp,5.3429
TID2013/distorted_images/i02_01_3.bmp,AWGN,TID2013/reference_images/i02.bmp,5.2222
TID2013/distorted_images/i02_01_4.bmp,AWGN,TID2013/reference_images/i02.bmp,4.1944
TID2013/distorted_images/i02_01_5.bmp,AWGN,TID2013/reference_images/i02.bmp,3.973
TID2013/distorted_images/i02_02_1.bmp,Chroma_Noise,TID2013/reference_images/i02.bmp,6.0556
TID2013/distorted_images/i02_02_2.bmp,Chroma_Noise,TID2013/reference_images/i02.bmp,6.0541
TID2013/distorted_images/i02_02_3.bmp,Chroma_Noise,TID2013/reference_images/i02.bmp,5.8889
TID2013/distorted_images/i02_02_4.bmp,Chroma_Noise,TID2013/reference_images/i02.bmp,5.2973
TID2013/distorted_images/i02_02_5.bmp,Chroma_Noise,TID2013/reference_images/i02.bmp,4.3889
TID2013/distorted_images/i02_03_1.bmp,Pink_Noise,TID2013/reference_images/i02.bmp,4.8
TID2013/distorted_images/i02_03_2.bmp,Pink_Noise,TID2013/reference_images/i02.bmp,4.4324
TID2013/distorted_images/i02_03_3.bmp,Pink_Noise,TID2013/reference_images/i02.bmp,3.8378
TID2013/distorted_images/i02_03_4.bmp,Pink_Noise,TID2013/reference_images/i02.bmp,3.5278
TID2013/distorted_images/i02_03_5.bmp,Pink_Noise,TID2013/reference_images/i02.bmp,2.9189
TID2013/distorted_images/i02_04_1.bmp,Masked_Noise,TID2013/reference_images/i02.bmp,6.2857
TID2013/distorted_images/i02_04_2.bmp,Masked_Noise,TID2013/reference_images/i02.bmp,6.1622
TID2013/distorted_images/i02_04_3.bmp,Masked_Noise,TID2013/reference_images/i02.bmp,5.1944
TID2013/distorted_images/i02_04_4.bmp,Masked_Noise,TID2013/reference_images/i02.bmp,4.7429
TID2013/distorted_images/i02_04_5.bmp,Masked_Noise,TID2013/reference_images/i02.bmp,4.2857
TID2013/distorted_images/i02_05_1.bmp,High_Frequency_Noise,TID2013/reference_images/i02.bmp,6.1177
TID2013/distorted_images/i02_05_2.bmp,High_Frequency_Noise,TID2013/reference_images/i02.bmp,6.1111
TID2013/distorted_images/i02_05_3.bmp,High_Frequency_Noise,TID2013/reference_images/i02.bmp,5.4324
TID2013/distorted_images/i02_05_4.bmp,High_Frequency_Noise,TID2013/reference_images/i02.bmp,4.3784
TID2013/distorted_images/i02_05_5.bmp,High_Frequency_Noise,TID2013/reference_images/i02.bmp,3.4167
TID2013/distorted_images/i02_06_1.bmp,Impluse_Noise,TID2013/reference_images/i02.bmp,4.5556
TID2013/distorted_images/i02_06_2.bmp,Impluse_Noise,TID2013/reference_images/i02.bmp,4.2778
TID2013/distorted_images/i02_06_3.bmp,Impluse_Noise,TID2013/reference_images/i02.bmp,3.7297
TID2013/distorted_images/i02_06_4.bmp,Impluse_Noise,TID2013/reference_images/i02.bmp,3.4857
TID2013/distorted_images/i02_06_5.bmp,Impluse_Noise,TID2013/reference_images/i02.bmp,3.1081
TID2013/distorted_images/i02_07_1.bmp,Quantization_Noise,TID2013/reference_images/i02.bmp,5.9143
TID2013/distorted_images/i02_07_2.bmp,Quantization_Noise,TID2013/reference_images/i02.bmp,5.5833
TID2013/distorted_images/i02_07_3.bmp,Quantization_Noise,TID2013/reference_images/i02.bmp,3.7647
TID2013/distorted_images/i02_07_4.bmp,Quantization_Noise,TID2013/reference_images/i02.bmp,3.7568
TID2013/distorted_images/i02_07_5.bmp,Quantization_Noise,TID2013/reference_images/i02.bmp,2.8571
TID2013/distorted_images/i02_08_1.bmp,GBLUR,TID2013/reference_images/i02.bmp,6.1081
TID2013/distorted_images/i02_08_2.bmp,GBLUR,TID2013/reference_images/i02.bmp,5.1667
TID2013/distorted_images/i02_08_3.bmp,GBLUR,TID2013/reference_images/i02.bmp,4.5429
TID2013/distorted_images/i02_08_4.bmp,GBLUR,TID2013/reference_images/i02.bmp,3.8378
TID2013/distorted_images/i02_08_5.bmp,GBLUR,TID2013/reference_images/i02.bmp,3.027
TID2013/distorted_images/i02_09_1.bmp,Denoising,TID2013/reference_images/i02.bmp,6
TID2013/distorted_images/i02_09_2.bmp,Denoising,TID2013/reference_images/i02.bmp,5.5143
TID2013/distorted_images/i02_09_3.bmp,Denoising,TID2013/reference_images/i02.bmp,4.5278
TID2013/distorted_images/i02_09_4.bmp,Denoising,TID2013/reference_images/i02.bmp,3.6486
TID2013/distorted_images/i02_09_5.bmp,Denoising,TID2013/reference_images/i02.bmp,2.4167
TID2013/distorted_images/i02_10_1.bmp,JPEG,TID2013/reference_images/i02.bmp,6
TID2013/distorted_images/i02_10_2.bmp,JPEG,TID2013/reference_images/i02.bmp,5.9722
TID2013/distorted_images/i02_10_3.bmp,JPEG,TID2013/reference_images/i02.bmp,5.4324
TID2013/distorted_images/i02_10_4.bmp,JPEG,TID2013/reference_images/i02.bmp,3.5
TID2013/distorted_images/i02_10_5.bmp,JPEG,TID2013/reference_images/i02.bmp,2.7143
TID2013/distorted_images/i02_11_1.bmp,JP2K,TID2013/reference_images/i02.bmp,5.9167
TID2013/distorted_images/i02_11_2.bmp,JP2K,TID2013/reference_images/i02.bmp,4.8056
TID2013/distorted_images/i02_11_3.bmp,JP2K,TID2013/reference_images/i02.bmp,2.973
TID2013/distorted_images/i02_11_4.bmp,JP2K,TID2013/reference_images/i02.bmp,1.9189
TID2013/distorted_images/i02_11_5.bmp,JP2K,TID2013/reference_images/i02.bmp,1.2778
TID2013/distorted_images/i02_12_1.bmp,JPEG_Transmission_Error,TID2013/reference_images/i02.bmp,5.3056
TID2013/distorted_images/i02_12_2.bmp,JPEG_Transmission_Error,TID2013/reference_images/i02.bmp,4.4324
TID2013/distorted_images/i02_12_3.bmp,JPEG_Transmission_Error,TID2013/reference_images/i02.bmp,3.0811
TID2013/distorted_images/i02_12_4.bmp,JPEG_Transmission_Error,TID2013/reference_images/i02.bmp,2.6757
TID2013/distorted_images/i02_12_5.bmp,JPEG_Transmission_Error,TID2013/reference_images/i02.bmp,2.3714
TID2013/distorted_images/i02_13_1.bmp,JP2K_Transmission_Error,TID2013/reference_images/i02.bmp,4.4722
TID2013/distorted_images/i02_13_2.bmp,JP2K_Transmission_Error,TID2013/reference_images/i02.bmp,4
TID2013/distorted_images/i02_13_3.bmp,JP2K_Transmission_Error,TID2013/reference_images/i02.bmp,3.3889
TID2013/distorted_images/i02_13_4.bmp,JP2K_Transmission_Error,TID2013/reference_images/i02.bmp,2.8919
TID2013/distorted_images/i02_13_5.bmp,JP2K_Transmission_Error,TID2013/reference_images/i02.bmp,3.6111
TID2013/distorted_images/i02_14_1.bmp,Non_Eccentricity_Pattern_Noise,TID2013/reference_images/i02.bmp,5.75
